ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
105,Ilyas Abbadi,M,19,175,75,Algeria,ALG,2012 Summer,2012,Summer,London,Boxing,Boxing Men's Welterweight,
105,Ilyas Abbadi,M,23,175,75,Algeria,ALG,2016 Summer,2016,Summer,Rio de Janeiro,Boxing,Boxing Men's Middleweight,
239,Ayoub Abdellaoui,M,23,184,68,Algeria,ALG,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Men's Football,
247,El-Hachemi Abdenouz,M,24,170,63,Algeria,ALG,1980 Summer,1980,Summer,Moskva,Athletics,"Athletics Men's 5,000 metres",
248,Rda Abdenouz,M,19,170,63,Algeria,ALG,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 800 metres,
248,Rda Abdenouz,M,23,170,63,Algeria,ALG,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 800 metres,
249,Mouni Abderrahim,F,22,173,60,Algeria,ALG,2008 Summer,2008,Summer,Beijing,Volleyball,Volleyball Women's Volleyball,
249,Mouni Abderrahim,F,26,173,60,Algeria,ALG,2012 Summer,2012,Summer,London,Volleyball,Volleyball Women's Volleyball,
381,Benaissa Abed,M,23,170,51,Algeria,ALG,1988 Summer,1988,Summer,Seoul,Boxing,Boxing Men's Flyweight,
425,Salim Abes,M,25,,,Algeria,ALG,1996 Summer,1996,Summer,Atlanta,Handball,Handball Men's Handball,
491,Kamel Aboud,M,22,178,67,Algeria,ALG,1984 Summer,1984,Summer,Los Angeles,Boxing,Boxing Men's Welterweight,
493,Rabah Aboud,M,31,180,64,Algeria,ALG,2012 Summer,2012,Summer,London,Athletics,"Athletics Men's 5,000 metres",
685,Dallal Merwa Achour,F,17,176,45,Algeria,ALG,2012 Summer,2012,Summer,London,Volleyball,Volleyball Women's Volleyball,
871,Berkane Lakhdar Adda,M,21,178,78,Algeria,ALG,1980 Summer,1980,Summer,Moskva,Judo,Judo Men's Half-Middleweight,
873,Mehdi Addadi,M,28,179,70,Algeria,ALG,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 100 metres Backstroke,
873,Mehdi Addadi,M,28,179,70,Algeria,ALG,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 100 metres Butterfly,
983,Sad Admane,M,,174,62,Algeria,ALG,1980 Summer,1980,Summer,Moskva,Wrestling,"Wrestling Men's Lightweight, Freestyle",
1152,Khoudir Aggoune,M,23,175,66,Algeria,ALG,2004 Summer,2004,Summer,Athina,Athletics,"Athletics Men's 5,000 metres",
1468,Mohamed Al-Aich,M,23,185,73,Algeria,ALG,2004 Summer,2004,Summer,Athina,Rowing,Rowing Men's Single Sculls,
1476,Mehdi Aidet,M,26,172,65,Algeria,ALG,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 800 metres,
1476,Mehdi Aidet,M,26,172,65,Algeria,ALG,1980 Summer,1980,Summer,Moskva,Athletics,"Athletics Men's 1,500 metres",
1476,Mehdi Aidet,M,30,172,65,Algeria,ALG,1984 Summer,1984,Summer,Los Angeles,Athletics,"Athletics Men's 1,500 metres",
1514,Tassadit Assou,F,19,184,80,Algeria,ALG,2008 Summer,2008,Summer,Beijing,Volleyball,Volleyball Women's Volleyball,
1514,Tassadit Assou,F,23,184,80,Algeria,ALG,2012 Summer,2012,Summer,London,Volleyball,Volleyball Women's Volleyball,
1516,Rachid Ait Atmane,M,23,190,76,Algeria,ALG,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Men's Football,
1518,Kamel Ait Daoud,M,23,180,70,Algeria,ALG,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Men's Lightweight Double Sculls,
1523,Makhlouf Ait Hocine,M,21,182,79,Algeria,ALG,1988 Summer,1988,Summer,Seoul,Handball,Handball Men's Handball,
1527,Souad At Salem (-Mahour-Bacha),F,25,158,50,Algeria,ALG,2004 Summer,2004,Summer,Athina,Athletics,"Athletics Women's 5,000 metres",
1527,Souad At Salem (-Mahour-Bacha),F,25,158,50,Algeria,ALG,2004 Summer,2004,Summer,Athina,Athletics,"Athletics Women's 10,000 metres",
1527,Souad At Salem (-Mahour-Bacha),F,29,158,50,Algeria,ALG,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's Marathon,
1527,Souad At Salem (-Mahour-Bacha),F,33,158,50,Algeria,ALG,2012 Summer,2012,Summer,London,Athletics,Athletics Women's Marathon,
1527,Souad At Salem (-Mahour-Bacha),F,37,158,50,Algeria,ALG,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's Marathon,
1570,Ali Akacha,M,26,185,80,Algeria,ALG,1980 Summer,1980,Summer,Moskva,Handball,Handball Men's Handball,
2712,Mohamed Sid Ali Djouadi,M,20,,,Algeria,ALG,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 800 metres,
2788,Ikhlef Ahmed Hadj Allah,M,23,,,Algeria,ALG,1984 Summer,1984,Summer,Los Angeles,Boxing,Boxing Men's Light-Welterweight,
2794,Mohamed Allalou,M,22,174,63,Algeria,ALG,1996 Summer,1996,Summer,Atlanta,Boxing,Boxing Men's Light-Welterweight,
2794,Mohamed Allalou,M,26,174,63,Algeria,ALG,2000 Summer,2000,Summer,Sydney,Boxing,Boxing Men's Light-Welterweight,Bronze
3299,Mourad Sedegh Amara,M,21,,,Algeria,ALG,1980 Summer,1980,Summer,Moskva,Football,Football Men's Football,
3418,Mohamed Ameur,M,23,176,65,Algeria,ALG,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 20 kilometres Walk,
3534,Rafik Amrane,M,23,177,70,Algeria,ALG,2000 Summer,2000,Summer,Sydney,Rowing,Rowing Men's Single Sculls,
4661,Redouane Aouachria,M,26,,,Algeria,ALG,1996 Summer,1996,Summer,Atlanta,Handball,Handball Men's Handball,
4664,Moussa Aouanouk,M,28,173,62,Algeria,ALG,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 20 kilometres Walk,
4664,Moussa Aouanouk,M,32,173,62,Algeria,ALG,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 20 kilometres Walk,
5673,Salah Assad,M,22,181,72,Algeria,ALG,1980 Summer,1980,Summer,Moskva,Football,Football Men's Football,
5689,Sonia Asselah,F,20,176,78,Algeria,ALG,2012 Summer,2012,Summer,London,Judo,Judo Women's Heavyweight,
5689,Sonia Asselah,F,24,176,78,Algeria,ALG,2016 Summer,2016,Summer,Rio de Janeiro,Judo,Judo Women's Heavyweight,
5695,Mehdi Assous,M,18,152,51,Algeria,ALG,1996 Summer,1996,Summer,Atlanta,Boxing,Boxing Men's Flyweight,
6362,Mohamed Azzaoui,M,24,182,91,Algeria,ALG,2000 Summer,2000,Summer,Sydney,Boxing,Boxing Men's Heavyweight,
6364,Omar Azzeb,M,20,182,85,Algeria,ALG,1980 Summer,1980,Summer,Moskva,Handball,Handball Men's Handball,
6364,Omar Azzeb,M,24,182,85,Algeria,ALG,1984 Summer,1984,Summer,Los Angeles,Handball,Handball Men's Handball,
6364,Omar Azzeb,M,28,182,85,Algeria,ALG,1988 Summer,1988,Summer,Seoul,Handball,Handball Men's Handball,
6369,Yasmina Azzizi (-Kettab),F,34,176,67,Algeria,ALG,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Women's Heptathlon,
6372,Hassane Azzoun,M,28,188,100,Algeria,ALG,2008 Summer,2008,Summer,Beijing,Judo,Judo Men's Half-Heavyweight,
6373,Mohamed Azzedine Azzouzi,M,24,181,65,Algeria,ALG,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 800 metres,
6373,Mohamed Azzedine Azzouzi,M,24,181,65,Algeria,ALG,1972 Summer,1972,Summer,Munich,Athletics,"Athletics Men's 1,500 metres",
6412,Lahcen Babaci,M,23,175,62,Algeria,ALG,1980 Summer,1980,Summer,Moskva,Athletics,"Athletics Men's 3,000 metres Steeplechase",
6781,Nasria Baghdad-Azadj,F,28,167,49,Algeria,ALG,2000 Summer,2000,Summer,Sydney,Athletics,"Athletics Women's 10,000 metres",
6781,Nasria Baghdad-Azadj,F,32,167,49,Algeria,ALG,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's Marathon,
6815,Mohamed Bahari,M,20,180,75,Algeria,ALG,1996 Summer,1996,Summer,Atlanta,Boxing,Boxing Men's Middleweight,Bronze
7051,Ali Bakhta,M,22,,,Algeria,ALG,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 200 metres,
7058,Abdel Atif Bakir,M,23,180,78,Algeria,ALG,1980 Summer,1980,Summer,Moskva,Handball,Handball Men's Handball,
8410,Azzedine Basbas,M,21,165,56,Algeria,ALG,1988 Summer,1988,Summer,Seoul,Weightlifting,Weightlifting Men's Bantamweight,
8410,Azzedine Basbas,M,25,165,56,Algeria,ALG,1992 Summer,1992,Summer,Barcelona,Weightlifting,Weightlifting Men's Featherweight,
8410,Azzedine Basbas,M,29,165,56,Algeria,ALG,1996 Summer,1996,Summer,Atlanta,Weightlifting,Weightlifting Men's Featherweight,
9377,Ben Ali Beghouach,M,21,186,89,Algeria,ALG,1988 Summer,1988,Summer,Seoul,Handball,Handball Men's Handball,
9377,Ben Ali Beghouach,M,29,186,89,Algeria,ALG,1996 Summer,1996,Summer,Atlanta,Handball,Handball Men's Handball,
9510,Noureddine Bekkouche,M,,,67,Algeria,ALG,1984 Summer,1984,Summer,Los Angeles,Weightlifting,Weightlifting Men's Featherweight,
9518,Boualem Bel Alouane,M,19,174,66,Algeria,ALG,1980 Summer,1980,Summer,Moskva,Boxing,Boxing Men's Light-Welterweight,
9519,Assa Bel Aout,M,23,170,63,Algeria,ALG,1992 Summer,1992,Summer,Barcelona,Athletics,"Athletics Men's 5,000 metres",
9519,Assa Bel Aout,M,27,170,63,Algeria,ALG,1996 Summer,1996,Summer,Atlanta,Athletics,"Athletics Men's 5,000 metres",
9526,Djaffar Bel Hocine,M,22,,,Algeria,ALG,1984 Summer,1984,Summer,Los Angeles,Handball,Handball Men's Handball,
9528,Ahmed Bel Kessam,M,22,175,72,Algeria,ALG,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 800 metres,
9528,Ahmed Bel Kessam,M,26,175,72,Algeria,ALG,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 800 metres,
9529,Hadj Bel Kheir,M,27,164,57,Algeria,ALG,2004 Summer,2004,Summer,Athina,Boxing,Boxing Men's Featherweight,
9531,Katia Belabbas,F,20,170,65,Algeria,ALG,2016 Summer,2016,Summer,Rio de Janeiro,Sailing,Sailing Women's Windsurfer,
9532,Mohamed Khaled Belabbas,M,31,178,70,Algeria,ALG,2012 Summer,2012,Summer,London,Athletics,"Athletics Men's 3,000 metres Steeplechase",
9588,Othmane Mustapha Belfaa,M,18,192,76,Algeria,ALG,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's High Jump,
9589,Mohammed El-Amine Belferar,M,25,175,65,Algeria,ALG,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 800 metres,
9593,Sami Belgroun,M,25,188,100,Algeria,ALG,2000 Summer,2000,Summer,Sydney,Judo,Judo Men's Half-Heavyweight,
