"","date_data_unlist","auteur_data_unlist","titre_data_unlist","resume_data_unlist"
"1","Janvier 2019","Ammar Bouras","1990_1995 Algérie, chronique photographique"," Beau Livre - 246p..De 1989 à 1995, Ammar Bouras travaille comme reporter photographe au journal Alger républicain en même temps qu'il étudie aux Beaux-Arts. Avec un appareil argentique, il photographie en noir et blanc, à Alger surtout, le quotidien de ces années-là : manifestations, marches, meetings, grèves, conférences de rédaction, enterrements, mais également rencontres sportives, défilés de mode, cours de danse, fêtes à l'École des beaux-arts - le bruit et la fureur de l'époque, saisis avec justesse et humanité..Un livre témoin, un livre de l'effroi et de la grâce."
"2","Novembre 2018","Collectif- Bande dessinée","La nouvelle bande dessinée arabe","  - 270p..Recueil d'histoires courtes de la nouvelle scène de la bande dessinée arabe"
"3","Novembre 2018","Saphia Arezki","De l'ALN à l'ANP"," Essai - 388p..L'armée algérienne est une institution névralgique mais, 56 ans après l'indépendance, son histoire reste très peu documentée : ce livre, totalement dépassionné, écrit avec la froide rigueur d'une historienne, comble enfin cette lacune..L'Armée de libération nationale (ALN), en tant qu'unique force organisée dans le pays a, de fait, préfiguré l'État indépendant. L'ascendant de l'État-major de l'ALN en 1962, le coup d'État du 19 juin 1965, la tentative de putsch du chef d'État-major en 1967 ainsi que d'autres péripéties ont d'emblée situé l'armée au coeur du pouvoir et de ses tumultes..Perçue comme ""une boîte noire"" parce que située au ""coeur du pouvoir"", l'armée est à l'orgine de nombreux mythes voire de fantasmes - ainsi des expressions médiatiques telles ""les BTS"" (Batna- Tébessa- Souk-Ahras) ou ""les DAF"" (Déserteurs de l'armée française). Saphia Arezki s'applique à les déconstruire avec précision à travers l'étude concrète de la trajectoire d'officiers de l'ANP ayant contribué à la construction de l'armée nationale moderne..Le livre dévoile comment Houari Boumediene a assuré, dans une démarche pragmatique voire tâtonnante, la transition entre une armée de libération et une armée nationale, conciliant l'impératif politique d'intégrer les grands chefs de l'ALN et celui d'impliquer les compétences techniques. Il retrace également les évolutions qui se sont faites par la suite au sein de l'armée avec l'arrivée de Chadli Benjedid au pouvoir..La mise en relief du parcours des hommes et des groupes dans leur contexte historique apporte un éclairage remarquable sur la construction aussi bien de l'institution que de l'État indépendant..Un livre indispensable qui restitue à sa juste mesure, et en l'incarnant, la place de l'armée dans le système politique algérien."
"4","Novembre 2018","Mustapha Benfodil","Body writing"," Littérature - Roman - 246p..Karim Fatimi, astrophysicien de renom, meurt sur la route de Bologhine près de la ""Maison hantée"". Accident ou suicide ?.Mounia, sa femme, entame un journal pour exorciser son chagrin. Parallèlement, guidée par un étrange voyeurisme, elle décide de se plonger dans les écrits intimes de son mari. Le lecteur, entraîné dans une vertigineuse mise en abîme où se télescopent leurs deux narrations, découvre alors l'univers tourmenté de Karim Fatimi, écrivain génial et écorché vif, relatant compulsivement chaque moment clé de sa vie : Octobre 1988, la décennie noire, la naissance de leur fille Neïla, ou encore ce mystérieux 28 novembre 1994....À la croisée de plusieurs genres (journal, récit épistolaire, BD, reportage, chronique, manifeste), ce roman-kaléidoscope relève le pari insensé de recréer le chaos de l'Algérie des années 1990 par l'expérimentation formelle : le texte est mots, ratures, photos, pages arrachées, papiers d'emballage, dessins... fragments, fracas, convulsions. Il est un corps vivant qui palpite, éructe et s'esclaffe, servi par une prose ludique et exubérante, où le grotesque le dispute en permanence au tragique. Mustapha Benfodil, plus virtuose que jamais, semble proclamer : hors la parodie et la démesure, point de salut !.Radiographie extravagante de l'Algérie contemporaine, ce livre ambitieux et courageux, qui explore des questions aussi graves que le rapport à la violence, à l'esthétique, ou à Dieu, est aussi un hommage éperdu à l'écriture comme absolu."
"5","Octobre 2018","Mohamed Sari ","Aïzer Un enfant dans la guerre"," Littérature - Roman - 252p..Aïzer, un village sur les hauteurs de Cherchell. La guerre de Libération fait rage, et c'est un enfant, Mohamed, qui la raconte..Mobilisant ses propres souvenirs, convoquant parfois ceux des aînés, le narrateur décrit la violence, la clandestinité, l'implacable répression de l'armée française et la torture. Il fait aussi une minutieuse chronique de l'Algérie rurale de l'époque, relatant le combat des épouses et des mères, les espiègleries des enfants et les légendes narrées par les adultes..Chassée de ses terres, la famille de Mohamed, ainsi que toute la population de la région, est condamnée à l'exode puis parquée dans un camp cerné de barbelés, le camp de Rivail, dit ""Lassas"". La vie, rythmée par la faim, les humiliations et les disparitions, n'est pourtant que résistance nourrie par un espoir tenace, celui de la libération du pays..Ce récit autobiographique, à la sincérité touchante, est à la fois un document et un témoignage précieux."
"6","Octobre 2018","Chawki Amari","Balak"," Littérature - Roman - 174p..Peut-on maîtriser le hasard ?.C'est l'énigme que tous les personnages de ce roman vont s'employer à déchiffrer : Balak, jeune algérois dégingandé, membre de la secte des Zahiroune censée "" programmer"" une révolution en misant sur le hasard; M. Ghoulem, débonnaire directeur des sectes au ministère de l'Intérieur; Lazhar, son employé tourmenté; Lydia, petite amie de Balak, dégourdie et futée....Sous ses faux airs de polar mâtiné de vaudeville, ce roman relève le pari d'une littérature profonde, où Chawki Amari, à partir de son vaste savoir scientifique, explore une hypothèse audacieuse : et si le hasard était en fait à l'origine du sacré ? Toutes les croyances inspirées à l'Homme depuis la Création, et construites par lui, n'étant alors que désir de conjurer la part d'aléatoire de sa condition..Ce texte, à la légèreté trompeuse, sonde de manière virtuose les abîmes du monde, tout en s'insérant avec brio et une exquise nonchalance dans un contexte proprement algérien..Un pur enchantement."
"7","Octobre 2018","Ryad Girod","Les yeux de Mansour"," Littérature - Roman - 228p..Ryadh. Arabie Saoudite. Un homme, Mansour, est sur le point d'être décapité sur Al-Safa Square. Son ami, le narrateur, est le témoin halluciné et impuissant de cette exécution. Qui donc est Mansour, cet Idiot magnifique qui roule en Camaro rouge, descendant de l'émir Abdelkader, à la fois innocent et coupable, figure sacrée et sacrificielle ?.C'est la lancinante question que pose le texte de Ryad Girod, se déployant tel un chant funèbre, ample et sinueux, convoquant l'histoire, la géopolitique, les grands maîtres soufis. Il entrelace avec grâce une histoire d'amour mystérieuse, une méditation sur la gloire perdue des Arabes et des scènes à l'ironie féroce sur le microcosme européen expatrié..Un roman puissant et poétique qui interroge notre époque dans une région du monde malmenée par l'Histoire."
"8","Octobre 2018","Kamel Daoud","Le peintre dévorant la femme"," Littérature - Roman - 210p..""Je suis un ""Arabe"" invité à passer une nuit dans le musée Picasso à Paris, un octobre au ciel mauvais pour le Méditerranéen que je suis. Une nuit, seul, en enfant gâté mais en témoin d'une confrontation possible, désirée, concoctée. J'appréhendais l'ennuie cependant, ou l'impuissance..Pour comprendre Picasso, il faut être un enfant du vers, pas du verset. Venir de cette culture-là, sous la pierre de ce palais du sel, dans ce musée, pas d'une autre. Pourtant la nuit fut pleine de révélations : sur le meurtre qui peut être au coeur de l'amour, sur ce cannibalisme passionné auquel l'orgasme sursoit, sur les miens face à l'image et le temps, sur l'attentat absolu, sur Picasso et son désespoir érotique."" "
"9","Septembre 2018","Maissa Bey","Nulle autre voix"," Littérature - Roman - 204p..Une femme raconte..Après avoir purgé une peine de quinze années de prison pour avoir tué, de sang-froid, son mari, elle accepte de se confier à une écrivaine en quête d'inspiration et, chaque soir, avec une application maniaque, consigne dans ses carnets le récit de leurs rencontres..Anti-héroïne par excellence, dont la vie terne et ordinaire, hantée par la solitude, n'aura été qu'une succession de brimades et de désillusions, la narratrice va, au contact de la romancière, retrouver peu à peu le goût de vivre, s'humaniser, et, insensiblement, se révéler à elle-même....Et si tuer avait été son premier acte de liberté? Maïssa Bey mt brillamment en scène un face-à-face anxiogène, distillant un subtil suspens. Le lecteur, médusé, assiste à une insidieuse métamorphose, dans un renversement des rôles aussi inattendu qu'inquiétant..Mais dans ce roman-choc, où chaque phrase grince comme dans la mécanique implacable d'un thriller psychologique, l'auteure célèbre avant tout le troublant pouvoir de l'écriture : mettre en mots sa propre vie rend à l'existence."
"10","Septembre 2018","Amira-Géhanne Khalfallah","Le naufrage de la Lune"," Littérature - Roman - 216p..22 juillet 1664 : les côtes de Jijel (Gigéri à l'époque) sont attaquées par la flotte de Louis XIV, roi de France. Les habitants de la région et les janissaires dépêchés par le pouvoir central ottoman infligent aux assaillants une défaite cuisante..Faisant revivre cet épisode historique peu connu, Géhanne Khalfallah tisse un récit original et subtil qui se lit avec un surprenant sentiment de dépaysement. Une intrigue foisonnante se déroule, tendue de suspens, où sont campés nombre de personnages, certains lunaires et nimbés d'un impalpable mystère, d'autres débonnaires ou maléfiques : l'énigmatique Raïss Mahmoud, son épouse Thiziri, alerte et audacieuse, Remla le conjador et joueur de mandore, Neffa la vieille tante revêche... Autant de destins qui se nouent, se croisent, dans un décor où la nature règne dans toute sa puissance primordiale..De ce premier roman très personnel, célébrant la richesse de notre patrimoine et de notre histoire locale, se dégagent une poésie délicate et une grâce inspirée.. "
"11","Juin 2018","Abdelkader Djemai","Le jour où Pelé"," Littérature - Roman - 132p..Le 17 juin 1965, trois ans après l'indépendance de l'Algérie, Pelé et la mythique Seleçào débarquent à Oran pour disputer un match amical contre l'équipe nationale, en présence du président Ahmed Ben Bella..C'est une ville encore traumatisée par les années de guerre et les excations de l'OAS, mais ivre de toute sa nouvelle liberté, que nous découvrons à travers les yeux du jeune Noureddine. Le temps d'un match, l'adolescent va passer par tout le spectre des émotions. Jusqu'au dénouement final qui ne voit pas seulement la victoire des Brésiliens, mais aussi le coup d'État du colonel Boumediène. En l'espace de trois jours, Noureddine aura grandi et perdu un peu de son innocence."
"12","Mai 2018","Alice Kaplan","En quête de l'Etranger"," Essai - 336p..Comment est né l'Etranger, le plus célèbre des romans d'Albert Camus? Comment un jeune homme, qui n'a pas encore trente ans, a-t-il pu écrire dans un hôtel miteux de Montmartre un chef-d'oeuvre qui, des décennies après, continue à captiver des millions de lecteurs à travers le monde ?.L'histoire de Meursault n'est simple qu'en apparence et elle demeure aussi impénétrable aujourd'hui qu'elle l'était en 1942, avec ses images ordinaires et inoubliables : la vue sur la baie d'Alger qui s'offre depuis un balcon par un dimanche d'indolence, les gémissements d'un chien battu, la lumière qui se reflète sur la lame d'un couteau... Et ces quatre coups de feu tirés en illégitime défense un jour de soleil sur une plage déserte contre un ""Arabe"" sans nom....Alice Kaplan raconte l'histoire du succès foudroyant et inattendu de ce texte écrit sur fond d'occupation allemande, par un auteur alors désoeuvré et gravement malade. Elle se livre à une enquête minutieuse et obstinée (en France, en Algérie et ailleurs), habitée qu'elle est par les lieux et les protagonistes de ce roman - l'un des plus traduits et commentés au monde - qui suscite, aujourd'hui encore, autant de passion."
"13","Octobre 2017","Adlène Meddi ","1994"," Littérature - Roman - 348p..1994 : c'est l'année où tout bascule pour quatre jeunes lycéens d'El-Harrach. Le pays est à feu et à sang lorsque ces adolescents décident de former, avec leurs propres moyens, un groupe clandestin de lutte antiterroriste..2004 : on retrouve deux d'entre eux, Amin et Sidali, dont les pères, Fares et Zoubir (général au sein des services spéciaux), ont eux aussi fait partie, pendant la guerre de Libération, d'un même réseau de résistance. Amin, interné à l'hôpital psychiatrique de Blida, est placé sous surveillance, Sidali, arrêté par les services. Dix ans après les premières actions du groupuscule, leur cas intéresse encore Aybak, le terrifiant ex-coéquipier de Zoubir....Au fil du récit construit autour de ces deux dates clés, le lecteur se laisse happer par le rythme effréné d'une ville en proie à la violence fratricide, où les âmes les plus sombres côtoient les coeurs les plus innoncents..Dans ce roman dense et puissant, à travers des personnages aussi emblématiques que complexes, Adlène Meddi raconte les deux guerres qui ont marqué le pays et qui imprègnent encore si intensément notre présent."
"14","Octobre 2017","Nabil Farès","L'étrave"," Littérature - Roman - 180p..""L'étrave [est] un roman, avec des personnages, dont deux en miroir : le narrateur, un Algérien né dans une famille musulmane, momentanément nommé Ahlan Belch, encore en quête d'une part manquante de son identité, maître de conférences et psychanalyste, et Rachel, son double féminin, française convertie au judaïsme (...), elle aussi maître de conférences et psychanalyste. Ce sera l'histoire d'une rencontre intellectuelle, qui évoluera vers une relation amoureuse, opportune et néanmoins crépusculaire, puisque le narrateur, affaibli par la maladie, lutte déjà contre la mort..Une joute oratoire s'instaure entre les deux psychanalystes sur les relations entre juifs et musulmans. (...) Quelle sera l'issue de ce dialogue entre des personnages, dont la vie quotidienne est un chiasme électrisé par les tragédies d'avant et d'aujourd'hui : La Guerre mondiale, La Shoah, L'Esclavage, La Guerre d'Algérie, La Décennie noire, Le Conflit israélo-palestinien? Des deux, qui fait parler l'autre?"""
"15","Octobre 2017","Assia Djebar","La soif"," Littérature - Roman - 204p..Assia Djebar a vingt-et-un ans lorsqu'elle publie son premier roman La soif, à Paris, aux éditions Julliard. Un an auparavant, en mai 1956, elle a été exclue de l'Ecole normale supérieure - elle était la première femme musulmane à l'avoir intégrée - car elle a suivi le mot d'ordre de grève lancé par l'UGEMA..La soif vaut à Assia Djebar une reconnaissance immédiate. Cependant, parce qu'il met en scène une jeune Algérienne hédoniste, Nadia, à l'oisivité un peu mélancolique, alors que la guerre d'Indépendance y est à peine évoquée, le roman suscite aussi la controverse..60 ans après sa parution, ce court texte d'une jeune romancière frappe encore par sa singulière beauté et signe l'entrée magistrale en littérature d'une grande écrivaine..La réédition de ce roman depuis longtemps introuvable est accompagnée d'une postface de Beïda Chikhi, universitaire spécialiste de l'oeuvre d'Assia Djebar."
"16","Octobre 2017","Amin Zaoui","L'enfant de l'oeuf"," Littérature - Roman - 236p..Harys, le narrateur, est un bon chien, un caniche qui aime son maître, Mouloud, alias Moul, sa vie chahutée de jouisseur, son anticonformisme, et sa voix quand il chante Cheikha Remiti ou Jacques Brel. Ils habitent Alger, et Moul a pour amante une chrétienne réfugiée de Damas, sensuelle Lara, à l'âme bouleversée par la guerre..Ce trio bancal, cacophonique, passionné, tient le journal de sa lente destruction dans un univers rongé par l'hypocrisie, le mensonge, l'absence de moral..Insolent et malicieux, tel est L'enfant de l'oeuf, dixième roman d'Amin Zaoui, où l'auteur, avec une fantaisie décalée qui ne sacrifie rien à l'érudition, s'en prend systématiquement à toutes les formes d'autorité, au nom de la liberté. "
"17","Octobre 2017","Lahouari Addi","Le nationalisme arabe radical et l'Islam politique"," Essai - 288p..Dans cet ouvrage, Lahouari Addi tente de cerner l'histoire et l'héritage politiques du nationalisme arabe radical, démontrant au passage que celui-ci était, dès l'origine, porteur de limites idéologiques qui l'ont empêché de développer l'économie et de moderniser la culture. Si les régimes révolutionnaires promettaient bien le développement économique et social, et se fixaient pour but l'unité des nations arabes, ils n'avaient pourtant pas pris la mesure de certaines transformations sociales, comme l'exigence de la liberté de parole, ce qui explique qu'ils aient fini par perdre toute crédibilité..Cependant, bien que le nationalisme arabe radical se soit in fine idéologiquement épuisé, le populisme de type autoritaire n'en restait pas moins présent. Aujourd'hui, il s'exprime à travers l'Islam politique qui ambitionne de réaliser les objectifs du nationalisme arabe radical en appliquant la chari'a..L'auteur établit un lien créatif entre passé et présent tout en s'interrogeant sur l'avenir des pays arabes : l'Islam politique est-il l'héritier du nationalisme arabe radical ? Si l'Islam politique s'enracine, fera-t-il face aux mêmes défis que le nationalisme arabe radical ?.C'est des réponses à ces questions, souligne Lahouari Addi, que dépend l'avenir des pays arabes."
"18","Septembre 2017","Nourredine Saadi","Boulevard de l'abîme"," Littérature - Roman - 216p..Une femme d'origine algérienne est retrouvée morte dans son appartement à Paris. Tout porte à croire qu'il s'agit d'un suicide mais l'inspecteur chargé de l'enquête, fasciné par cette femme, fouille le carnet où elle retranscrit ses séances de psychanalyse et ses rêves. Il reconstitue peu à peu le puzzle de sa vie et toutes les pièces le ramènent à son passé à lui, lorsqu'il était engagé, en tant qu'appelé, dans la guerre d'Algérie. Un souvenir en particulier lui revient : la vaste campagne de ""fraternisation"" avec la population à laquelle il a, malgré lui, participé et qui a tourné au cauchemar..En croisant les récits et les points de vue - ceux de la victime, d'un ex-amant avec lequel la défunte a vécu une histoire passionnée et de l'inspecteur enfin -, l'auteur explore les méandres de la mémoire et révèle la force et les limites du déni..Entre polar et récit historique, Boulevard de l'abîme est avant tout un roman d'introspection, en quête, à chaque ligne, de la (ou des) vérité(s)."
