country,year,electricity_generation,region
Algeria,1985,12.27, Africa
Algeria,1986,12.98, Africa
Algeria,1987,12.72, Africa
Algeria,1988,13.97, Africa
Algeria,1989,15.32, Africa
Algeria,1990,16.1, Africa
Algeria,1991,17.34, Africa
Algeria,1992,18.29, Africa
Algeria,1993,19.41, Africa
Algeria,1994,19.88, Africa
Algeria,1995,19.71, Africa
Algeria,1996,20.65, Africa
Algeria,1997,21.5, Africa
Algeria,1998,23.26, Africa
Algeria,1999,24.76, Africa
Algeria,2000,25.41, Africa
Algeria,2001,26.62, Africa
Algeria,2002,27.65, Africa
Algeria,2003,29.53, Africa
Algeria,2004,31.25, Africa
Algeria,2005,33.91, Africa
Algeria,2006,35.23, Africa
Algeria,2007,37.31, Africa
Algeria,2008,40.24, Africa
Algeria,2009,43.11, Africa
Algeria,2010,45.73, Africa
Algeria,2011,53.07, Africa
Algeria,2012,57.4, Africa
Algeria,2013,59.89, Africa
Algeria,2014,64.24, Africa
Algeria,2015,68.8, Africa
Algeria,2016,71, Africa
Algeria,2017,76.02, Africa
Algeria,2018,76.42, Africa
Eastern Africa,1985,24.1, Africa
Eastern Africa,1986,24.68, Africa
Eastern Africa,1987,24.88, Africa
Eastern Africa,1988,27.23, Africa
Eastern Africa,1989,26.43, Africa
Eastern Africa,1990,30.01, Africa
Eastern Africa,1991,31.41, Africa
Eastern Africa,1992,28.76, Africa
Eastern Africa,1993,30.31, Africa
Eastern Africa,1994,30.74, Africa
Eastern Africa,1995,31.73, Africa
Eastern Africa,1996,31.47, Africa
Eastern Africa,1997,33.49, Africa
Eastern Africa,1998,38.84, Africa
Eastern Africa,1999,41.05, Africa
Eastern Africa,2000,43.66, Africa
Eastern Africa,2001,48.76, Africa
Eastern Africa,2002,51.35, Africa
Eastern Africa,2003,51.31, Africa
Eastern Africa,2004,55.2, Africa
Eastern Africa,2005,58.32, Africa
Eastern Africa,2006,60.39, Africa
Eastern Africa,2007,64.11, Africa
Eastern Africa,2008,65.06, Africa
Eastern Africa,2009,68.75, Africa
Eastern Africa,2010,74.01, Africa
Eastern Africa,2011,78.46, Africa
Eastern Africa,2012,81.63, Africa
Eastern Africa,2013,86.86, Africa
Eastern Africa,2014,93.4, Africa
Eastern Africa,2015,98.13, Africa
Eastern Africa,2016,97.04, Africa
Eastern Africa,2017,101.35, Africa
Eastern Africa,2018,105.76, Africa
Egypt,1985,30.25, Africa
Egypt,1986,32.46, Africa
Egypt,1987,35.65, Africa
Egypt,1988,38.71, Africa
Egypt,1989,40.61, Africa
Egypt,1990,41.95, Africa
Egypt,1991,43.28, Africa
Egypt,1992,44.99, Africa
Egypt,1993,46.74, Africa
Egypt,1994,48.55, Africa
Egypt,1995,50.65, Africa
Egypt,1996,53.57, Africa
Egypt,1997,56.78, Africa
Egypt,1998,60.7, Africa
Egypt,1999,65.73, Africa
Egypt,2000,73.32, Africa
Egypt,2001,80.71, Africa
Egypt,2002,86.24, Africa
Egypt,2003,92.19, Africa
Egypt,2004,98.25, Africa
Egypt,2005,104.95, Africa
Egypt,2006,111.66, Africa
Egypt,2007,119.87, Africa
Egypt,2008,128.79, Africa
Egypt,2009,134.27, Africa
Egypt,2010,144.43, Africa
Egypt,2011,149.56, Africa
Egypt,2012,162.83, Africa
Egypt,2013,165.06, Africa
Egypt,2014,171.23, Africa
Egypt,2015,181.84, Africa
Egypt,2016,188.19, Africa
Egypt,2017,193.21, Africa
Egypt,2018,199.98, Africa
Middle Africa,1985,9.74, Africa
Middle Africa,1986,10.05, Africa
Middle Africa,1987,10.09, Africa
Middle Africa,1988,10.24, Africa
Middle Africa,1989,11.94, Africa
Middle Africa,1990,10.89, Africa
Middle Africa,1991,10.61, Africa
Middle Africa,1992,11.4, Africa
Middle Africa,1993,10.75, Africa
Middle Africa,1994,10.31, Africa
Middle Africa,1995,11.44, Africa
Middle Africa,1996,11.62, Africa
Middle Africa,1997,11.06, Africa
Middle Africa,1998,10.94, Africa
Middle Africa,1999,11.52, Africa
Middle Africa,2000,12.63, Africa
Middle Africa,2001,13.05, Africa
Middle Africa,2002,13.22, Africa
Middle Africa,2003,13.95, Africa
Middle Africa,2004,15.63, Africa
Middle Africa,2005,16.39, Africa
Middle Africa,2006,18.64, Africa
Middle Africa,2007,18.64, Africa
Middle Africa,2008,20.14, Africa
Middle Africa,2009,21.14, Africa
Middle Africa,2010,22.16, Africa
Middle Africa,2011,22.68, Africa
Middle Africa,2012,23.34, Africa
Middle Africa,2013,27.65, Africa
Middle Africa,2014,30.39, Africa
Middle Africa,2015,31.86, Africa
Middle Africa,2016,33.09, Africa
Middle Africa,2017,36.98, Africa
Middle Africa,2018,40.46, Africa
Morocco,1985,7.34, Africa
Morocco,1986,7.76, Africa
Morocco,1987,8, Africa
Morocco,1988,8.98, Africa
Morocco,1989,9.02, Africa
Morocco,1990,9.63, Africa
Morocco,1991,9.21, Africa
Morocco,1992,9.72, Africa
Morocco,1993,9.91, Africa
Morocco,1994,11.47, Africa
Morocco,1995,12.09, Africa
Morocco,1996,12.54, Africa
Morocco,1997,13.59, Africa
Morocco,1998,12.97, Africa
Morocco,1999,12.89, Africa
Morocco,2000,12.86, Africa
Morocco,2001,15.05, Africa
Morocco,2002,15.23, Africa
Morocco,2003,16.52, Africa
Morocco,2004,17.57, Africa
Morocco,2005,19.72, Africa
Morocco,2006,20.45, Africa
Morocco,2007,20.31, Africa
Morocco,2008,20.99, Africa
Morocco,2009,21.66, Africa
Morocco,2010,23.68, Africa
Morocco,2011,25.36, Africa
Morocco,2012,27.66, Africa
Morocco,2013,28.12, Africa
Morocco,2014,29.28, Africa
Morocco,2015,30.32, Africa
Morocco,2016,30.72, Africa
Morocco,2017,31.63, Africa
Morocco,2018,34.44, Africa
Other Northern Africa,1985,11.39, Africa
Other Northern Africa,1986,11.41, Africa
Other Northern Africa,1987,12.5, Africa
Other Northern Africa,1988,13.33, Africa
Other Northern Africa,1989,13.59, Africa
Other Northern Africa,1990,16.06, Africa
Other Northern Africa,1991,16.57, Africa
Other Northern Africa,1992,17.33, Africa
Other Northern Africa,1993,18.05, Africa
Other Northern Africa,1994,18.82, Africa
Other Northern Africa,1995,19.17, Africa
Other Northern Africa,1996,20.1, Africa
Other Northern Africa,1997,21.19, Africa
Other Northern Africa,1998,22.7, Africa
Other Northern Africa,1999,24.49, Africa
Other Northern Africa,2000,26.18, Africa
Other Northern Africa,2001,27.59, Africa
Other Northern Africa,2002,29.46, Africa
Other Northern Africa,2003,30.32, Africa
Other Northern Africa,2004,32.31, Africa
Other Northern Africa,2005,35.42, Africa
Other Northern Africa,2006,37.91, Africa
Other Northern Africa,2007,40.07, Africa
Other Northern Africa,2008,43.13, Africa
Other Northern Africa,2009,45.72, Africa
Other Northern Africa,2010,49.03, Africa
Other Northern Africa,2011,42.6, Africa
Other Northern Africa,2012,52.44, Africa
Other Northern Africa,2013,56.4, Africa
Other Northern Africa,2014,57.04, Africa
Other Northern Africa,2015,57.28, Africa
Other Northern Africa,2016,56.33, Africa
Other Northern Africa,2017,59.92, Africa
Other Northern Africa,2018,63.47, Africa
Other Southern Africa,1985,2.17, Africa
Other Southern Africa,1986,2.28, Africa
Other Southern Africa,1987,2.6, Africa
Other Southern Africa,1988,2.5, Africa
Other Southern Africa,1989,2.59, Africa
Other Southern Africa,1990,2.62, Africa
Other Southern Africa,1991,2.74, Africa
Other Southern Africa,1992,2.71, Africa
Other Southern Africa,1993,2.71, Africa
Other Southern Africa,1994,2.38, Africa
Other Southern Africa,1995,2.64, Africa
Other Southern Africa,1996,2.08, Africa
Other Southern Africa,1997,1.86, Africa
Other Southern Africa,1998,2.6, Africa
Other Southern Africa,1999,3.18, Africa
Other Southern Africa,2000,3.39, Africa
Other Southern Africa,2001,3.22, Africa
Other Southern Africa,2002,3.43, Africa
Other Southern Africa,2003,3.29, Africa
Other Southern Africa,2004,3.11, Africa
Other Southern Africa,2005,3.51, Africa
Other Southern Africa,2006,3.35, Africa
Other Southern Africa,2007,3.24, Africa
Other Southern Africa,2008,3.13, Africa
Other Southern Africa,2009,2.96, Africa
Other Southern Africa,2010,2.83, Africa
Other Southern Africa,2011,2.89, Africa
Other Southern Africa,2012,3.47, Africa
Other Southern Africa,2013,4.14, Africa
Other Southern Africa,2014,4.97, Africa
Other Southern Africa,2015,5.05, Africa
Other Southern Africa,2016,4.75, Africa
Other Southern Africa,2017,5.64, Africa
Other Southern Africa,2018,5, Africa
South Africa,1985,143.49, Africa
South Africa,1986,148.24, Africa
South Africa,1987,152.37, Africa
South Africa,1988,158.14, Africa
South Africa,1989,163.36, Africa
South Africa,1990,167.23, Africa
South Africa,1991,168.32, Africa
South Africa,1992,168.09, Africa
South Africa,1993,174.71, Africa
