country,region,year,type,value
Egypt, Africa,2017,oil,27.7
Other Africa, Africa,2017,oil,56
South Africa, Africa,2017,oil,0.12
Australia, Asia Pacific,2017,oil,5.31
China, Asia Pacific,2017,oil,10.74
India, Asia Pacific,2017,oil,10.07
Indonesia, Asia Pacific,2017,oil,18.93
Japan, Asia Pacific,2017,oil,65.72
Malaysia, Asia Pacific,2017,oil,4.99
Other Asia Pacific, Asia Pacific,2017,oil,72.36
South Korea, Asia Pacific,2017,oil,13.13
Taiwan, Asia Pacific,2017,oil,12.76
Thailand, Asia Pacific,2017,oil,0.33
Vietnam, Asia Pacific,2017,oil,0.74
Kazakhstan, CIS,2017,oil,1.93
Other CIS, CIS,2017,oil,1.8
Russian Federation, CIS,2017,oil,10.68
Germany, Europe,2017,oil,5.57
Italy, Europe,2017,oil,11.53
Netherlands, Europe,2017,oil,1.18
Other Europe, Europe,2017,oil,21.61
Poland, Europe,2017,oil,2.02
Spain, Europe,2017,oil,15.77
Turkey, Europe,2017,oil,1.2
Ukraine, Europe,2017,oil,1.43
United Kingdom, Europe,2017,oil,1.62
Iran, Middle East,2017,oil,28.87
Other Middle East, Middle East,2017,oil,134.79
Saudi Arabia, Middle East,2017,oil,156.88
United Arab Emirates, Middle East,2017,oil,1.59
Canada, North America,2017,oil,3.21
Mexico, North America,2017,oil,38.9
US, North America,2017,oil,23
Argentina, S. & Cent. America,2017,oil,11.61
Brazil, S. & Cent. America,2017,oil,15.48
Other S. & Cent. America, S. & Cent. America,2017,oil,80.45
Egypt, Africa,2017,naturalgas,149.39
Other Africa, Africa,2017,naturalgas,173.62
South Africa, Africa,2017,naturalgas,1.88
Australia, Asia Pacific,2017,naturalgas,55.18
China, Asia Pacific,2017,naturalgas,202.8
India, Asia Pacific,2017,naturalgas,73.46
Indonesia, Asia Pacific,2017,naturalgas,55.71
Japan, Asia Pacific,2017,naturalgas,401.45
Malaysia, Asia Pacific,2017,naturalgas,65.09
Other Asia Pacific, Asia Pacific,2017,naturalgas,201.6
South Korea, Asia Pacific,2017,naturalgas,127.98
Taiwan, Asia Pacific,2017,naturalgas,93.41
Thailand, Asia Pacific,2017,naturalgas,121.04
Vietnam, Asia Pacific,2017,naturalgas,44.36
Kazakhstan, CIS,2017,naturalgas,19.75
