year,Japan_CIF,Japan_Korea_Marker,Average_German_Import,UK_NBP,Netherlands_TTF,US_HH,Canada_Alberta,OCDE_CIF
1984,5,,4,,,,,5
1985,5,,4,,,,,5
1986,4,,4,,,,,3
1987,3,,3,,,,,3
1988,3,,2,,,,,3
1989,3,,2,,,2,,3
1990,4,,3,,,2,1,4
1991,4,,3,,,1,1,3
1992,4,,3,,,2,1,3
1993,4,,3,,,2,2,3
1994,3,,2,,,2,1,3
1995,3,,2,,,2,1,3
1996,4,,2,2,,3,1,4
1997,4,,3,2,,3,1,3
1998,3,,2,2,,2,1,2
1999,3,,2,2,,2,2,3
2000,5,,3,3,,4,4,5
2001,5,,4,3,,4,4,4
2002,4,,3,2,,3,3,4
2003,5,,4,3,,6,5,5
2004,5,,4,4,,6,5,6
2005,6,,6,7,6,9,7,9
2006,7,,8,8,7,7,6,11
2007,8,,8,6,6,7,6,12
2008,13,,12,11,11,9,8,17
2009,9,5,9,5,5,4,3,10
2010,11,8,8,7,7,4,4,13
2011,15,14,10,9,9,4,3,19
2012,17,15,11,9,9,3,2,19
2013,16,17,11,11,10,4,3,18
2014,16,14,9,8,8,4,4,17
2015,10,7,7,7,6,3,2,9
2016,7,6,5,5,5,2,2,7
2017,8,7,6,6,6,3,2,9
2018,10,10,7,8,8,3,1,12
