country,year,gas_proved_reserves,region
Algeria,1980,3.58,Africa
Algeria,1981,3.54,Africa
Algeria,1982,3.48,Africa
Algeria,1983,3.4,Africa
Algeria,1984,3.31,Africa
Algeria,1985,3.22,Africa
Algeria,1986,3.14,Africa
Algeria,1987,3.04,Africa
Algeria,1988,3.11,Africa
Algeria,1989,3.13,Africa
Algeria,1990,3.18,Africa
Algeria,1991,3.49,Africa
Algeria,1992,3.51,Africa
Algeria,1993,3.56,Africa
Algeria,1994,2.85,Africa
Algeria,1995,3.55,Africa
Algeria,1996,3.56,Africa
Algeria,1997,3.92,Africa
Algeria,1998,3.92,Africa
Algeria,1999,4.35,Africa
Algeria,2000,4.35,Africa
Algeria,2001,4.35,Africa
Algeria,2002,4.35,Africa
Algeria,2003,4.37,Africa
Algeria,2004,4.37,Africa
Algeria,2005,4.34,Africa
Algeria,2006,4.34,Africa
Algeria,2007,4.34,Africa
Algeria,2008,4.34,Africa
Algeria,2009,4.34,Africa
Algeria,2010,4.34,Africa
Algeria,2011,4.34,Africa
Algeria,2012,4.34,Africa
Algeria,2013,4.34,Africa
Algeria,2014,4.34,Africa
Algeria,2015,4.34,Africa
Algeria,2016,4.34,Africa
Algeria,2017,4.34,Africa
Algeria,2018,4.34,Africa
Egypt,1980,0.08,Africa
Egypt,1981,0.08,Africa
Egypt,1982,0.2,Africa
Egypt,1983,0.19,Africa
Egypt,1984,0.23,Africa
Egypt,1985,0.25,Africa
Egypt,1986,0.28,Africa
Egypt,1987,0.3,Africa
Egypt,1988,0.32,Africa
Egypt,1989,0.34,Africa
Egypt,1990,0.36,Africa
Egypt,1991,0.38,Africa
Egypt,1992,0.42,Africa
Egypt,1993,0.57,Africa
Egypt,1994,0.61,Africa
Egypt,1995,0.62,Africa
Egypt,1996,0.82,Africa
Egypt,1997,0.89,Africa
Egypt,1998,0.98,Africa
Egypt,1999,1.18,Africa
Egypt,2000,1.38,Africa
Egypt,2001,1.5,Africa
Egypt,2002,1.59,Africa
Egypt,2003,1.66,Africa
Egypt,2004,1.8,Africa
Egypt,2005,1.82,Africa
Egypt,2006,1.91,Africa
Egypt,2007,1.99,Africa
Egypt,2008,2.07,Africa
Egypt,2009,2.11,Africa
Egypt,2010,2.13,Africa
Egypt,2011,2.11,Africa
Egypt,2012,1.96,Africa
