from,To,value
US,Mexico,4.9
US,North America,4.9
US,Argentina,0.74
US,Brazil,0.68
US,Chile,1.07
US,Other S. & Cent. America,0.52
US,S. & Cent. America,3.01
US,France,0.49
US,Italy,0.47
US,Spain,0.3
US,Turkey,0.42
US,United Kingdom,1.17
US,Other EU,1.06
US,Europe,3.9
US,Egypt,0.18
US,Kuwait,0.27
US,United Arab Emirates,0.1
US,Other Middle East & Africa,1.13
US,Middle East & Africa,1.67
US,China,2.98
US,India,1.32
US,Japan,3.4
US,Pakistan,0.35
US,Singapore,0.1
US,South Korea,6.45
US,Taiwan,0.35
US,Asia Pacific,14.95
Peru,Mexico,0.09
Peru,North America,0.09
Peru,France,0.33
Peru,Spain,1.74
Peru,United Kingdom,0.06
Peru,Other EU,0.32
Peru,Europe,2.44
Peru,China,0.09
Peru,Japan,0.76
Peru,South Korea,1.3
Peru,Taiwan,0.08
Peru,Asia Pacific,2.23
Tobago,Canada,0.43
Tobago,Mexico,0.27
Tobago,US,1.81
Tobago,North America,2.52
Tobago,Argentina,0.59
Tobago,Brazil,0.78
Tobago,Chile,2.5
Tobago,Other S. & Cent. America,3.19
Tobago,S. & Cent. America,7.06
Tobago,France,0.08
Tobago,Spain,2.18
Tobago,Turkey,0.4
Tobago,United Kingdom,0.79
Tobago,Other EU,0.25
Tobago,Europe,3.7
Tobago,Egypt,0.1
Tobago,Kuwait,0.09
Tobago,Other Middle East & Africa,0.88
Tobago,Middle East & Africa,1.07
Tobago,China,0.52
Tobago,India,0.5
Tobago,Japan,0.16
Tobago,Pakistan,0.08
Tobago,Singapore,0.11
Tobago,South Korea,0.25
Tobago,Taiwan,0.31
Tobago,Thailand,0.49
Tobago,Asia Pacific,2.42
Americas*,US,0.05
Americas*,North America,0.05
Americas*,South Korea,0.07
Americas*,Asia Pacific,0.07
Norway,Canada,0.08
Norway,North America,0.08
Norway,Brazil,0.24
Norway,S. & Cent. America,0.24
Norway,Belgium,0.09
Norway,France,1.54
Norway,Italy,0.11
Norway,Spain,0.59
Norway,Turkey,0.09
Norway,United Kingdom,0.17
Norway,Other EU,1.99
Norway,Europe,4.59
Norway,Egypt,0.6
Norway,Kuwait,0.18
Norway,Other Middle East & Africa,0.17
Norway,Middle East & Africa,0.95
Norway,China,0.25
Norway,India,0.09
Norway,Japan,0.09
Norway,Pakistan,0.18
Norway,South Korea,0.09
Norway,Taiwan,0.08
Norway,Asia Pacific,0.78
Europe*,Canada,0.01
Europe*,US,0.17
Europe*,North America,0.18
Europe*,Argentina,0.06
Europe*,Brazil,0.36
Europe*,S. & Cent. America,0.42
Europe*,Belgium,0.03
Europe*,France,0.04
Europe*,Spain,0.12
Europe*,Turkey,0.27
Europe*,Other EU,0.29
Europe*,Europe,0.76
Europe*,Egypt,0.19
Europe*,United Arab Emirates,0.18
Europe*,Other Middle East & Africa,0.17
Europe*,Middle East & Africa,0.55
Europe*,China,0.87
Europe*,India,0.57
Europe*,Japan,0.54
