country,year,gas_consumption_bcm,region
Algeria,1965,0.74, Africa
Algeria,1966,0.77, Africa
Algeria,1967,0.75, Africa
Algeria,1968,0.79, Africa
Algeria,1969,1.04, Africa
Algeria,1970,0.97, Africa
Algeria,1971,1.1, Africa
Algeria,1972,1.28, Africa
Algeria,1973,1.79, Africa
Algeria,1974,2.07, Africa
Algeria,1975,2.85, Africa
Algeria,1976,3.37, Africa
Algeria,1977,3.59, Africa
Algeria,1978,5.77, Africa
Algeria,1979,8.15, Africa
Algeria,1980,10.94, Africa
Algeria,1981,14.23, Africa
Algeria,1982,16.14, Africa
Algeria,1983,17.67, Africa
Algeria,1984,15.53, Africa
Algeria,1985,15.38, Africa
Algeria,1986,16.84, Africa
Algeria,1987,17.23, Africa
Algeria,1988,19.41, Africa
Algeria,1989,18.27, Africa
Algeria,1990,19.51, Africa
Algeria,1991,19.27, Africa
Algeria,1992,19.89, Africa
Algeria,1993,17.85, Africa
Algeria,1994,18.82, Africa
Algeria,1995,20.22, Africa
Algeria,1996,20.77, Africa
Algeria,1997,19.4, Africa
Algeria,1998,20.07, Africa
Algeria,1999,20.51, Africa
Algeria,2000,19.1, Africa
Algeria,2001,19.73, Africa
Algeria,2002,19.48, Africa
Algeria,2003,20.59, Africa
Algeria,2004,21.19, Africa
Algeria,2005,22.36, Africa
Algeria,2006,22.85, Africa
Algeria,2007,23.38, Africa
Algeria,2008,24.4, Africa
Algeria,2009,26.21, Africa
Algeria,2010,25.33, Africa
Algeria,2011,26.8, Africa
Algeria,2012,29.87, Africa
Algeria,2013,32.12, Africa
Algeria,2014,36.09, Africa
Algeria,2015,37.92, Africa
Algeria,2016,38.6, Africa
Algeria,2017,38.88, Africa
Algeria,2018,42.73, Africa
Eastern Africa,1965,0, Africa
Eastern Africa,1966,0, Africa
Eastern Africa,1967,0, Africa
Eastern Africa,1968,0, Africa
Eastern Africa,1969,0, Africa
Eastern Africa,1970,0, Africa
Eastern Africa,1971,0, Africa
Eastern Africa,1972,0, Africa
Eastern Africa,1973,0, Africa
Eastern Africa,1974,0, Africa
Eastern Africa,1975,0, Africa
Eastern Africa,1976,0, Africa
Eastern Africa,1977,0, Africa
Eastern Africa,1978,0, Africa
Eastern Africa,1979,0, Africa
Eastern Africa,1980,0, Africa
Eastern Africa,1981,0, Africa
Eastern Africa,1982,0, Africa
Eastern Africa,1983,0, Africa
Eastern Africa,1984,0, Africa
Eastern Africa,1985,0, Africa
Eastern Africa,1986,0, Africa
Eastern Africa,1987,0, Africa
Eastern Africa,1988,0, Africa
Eastern Africa,1989,0, Africa
Eastern Africa,1990,0, Africa
Eastern Africa,1991,0, Africa
Eastern Africa,1992,0, Africa
Eastern Africa,1993,0, Africa
Eastern Africa,1994,0, Africa
Eastern Africa,1995,0, Africa
Eastern Africa,1996,0, Africa
Eastern Africa,1997,0, Africa
Eastern Africa,1998,0, Africa
Eastern Africa,1999,0, Africa
Eastern Africa,2000,0, Africa
Eastern Africa,2001,0, Africa
Eastern Africa,2002,0, Africa
Eastern Africa,2003,0, Africa
Eastern Africa,2004,0.13, Africa
Eastern Africa,2005,0.42, Africa
Eastern Africa,2006,0.52, Africa
Eastern Africa,2007,0.58, Africa
Eastern Africa,2008,0.62, Africa
Eastern Africa,2009,0.73, Africa
Eastern Africa,2010,0.84, Africa
Eastern Africa,2011,0.96, Africa
Eastern Africa,2012,1.1, Africa
Eastern Africa,2013,1.14, Africa
Eastern Africa,2014,1.26, Africa
Eastern Africa,2015,1.61, Africa
Eastern Africa,2016,2.03, Africa
Eastern Africa,2017,2.01, Africa
Eastern Africa,2018,2.16, Africa
Egypt,1965,0.05, Africa
Egypt,1966,0.05, Africa
Egypt,1967,0.05, Africa
Egypt,1968,0.05, Africa
Egypt,1969,0.07, Africa
Egypt,1970,0.08, Africa
Egypt,1971,0.08, Africa
Egypt,1972,0.07, Africa
Egypt,1973,0.05, Africa
Egypt,1974,0.06, Africa
Egypt,1975,0.05, Africa
Egypt,1976,0.37, Africa
Egypt,1977,0.44, Africa
Egypt,1978,0.71, Africa
Egypt,1979,1.08, Africa
Egypt,1980,2.1, Africa
Egypt,1981,2.35, Africa
Egypt,1982,2.57, Africa
Egypt,1983,3.01, Africa
Egypt,1984,3.87, Africa
Egypt,1985,4.75, Africa
Egypt,1986,5.47, Africa
Egypt,1987,6.04, Africa
Egypt,1988,6.66, Africa
Egypt,1989,7.45, Africa
Egypt,1990,7.77, Africa
Egypt,1991,8.74, Africa
Egypt,1992,9.45, Africa
Egypt,1993,10.87, Africa
Egypt,1994,11.55, Africa
Egypt,1995,12.13, Africa
Egypt,1996,12.51, Africa
Egypt,1997,12.9, Africa
Egypt,1998,13.19, Africa
Egypt,1999,15.78, Africa
Egypt,2000,19.25, Africa
Egypt,2001,23.58, Africa
Egypt,2002,25.51, Africa
Egypt,2003,28.59, Africa
Egypt,2004,30.51, Africa
Egypt,2005,30.42, Africa
Egypt,2006,35.13, Africa
Egypt,2007,36.92, Africa
Egypt,2008,39.31, Africa
Egypt,2009,40.94, Africa
Egypt,2010,43.42, Africa
Egypt,2011,47.76, Africa
Egypt,2012,50.64, Africa
Egypt,2013,49.5, Africa
Egypt,2014,46.22, Africa
Egypt,2015,46.02, Africa
Egypt,2016,49.35, Africa
Egypt,2017,55.93, Africa
Egypt,2018,59.55, Africa
Middle Africa,1965,0.01, Africa
Middle Africa,1966,0.01, Africa
Middle Africa,1967,0.02, Africa
Middle Africa,1968,0.02, Africa
Middle Africa,1969,0.02, Africa
Middle Africa,1970,0.06, Africa
Middle Africa,1971,0.13, Africa
Middle Africa,1972,0.15, Africa
Middle Africa,1973,0.52, Africa
Middle Africa,1974,0.6, Africa
Middle Africa,1975,0.23, Africa
Middle Africa,1976,0.07, Africa
Middle Africa,1977,0.11, Africa
Middle Africa,1978,0.11, Africa
Middle Africa,1979,0.1, Africa
Middle Africa,1980,0.26, Africa
Middle Africa,1981,0.31, Africa
Middle Africa,1982,0.35, Africa
Middle Africa,1983,0.38, Africa
Middle Africa,1984,0.36, Africa
Middle Africa,1985,0.41, Africa
Middle Africa,1986,0.47, Africa
Middle Africa,1987,0.54, Africa
Middle Africa,1988,0.65, Africa
Middle Africa,1989,0.5, Africa
Middle Africa,1990,0.62, Africa
Middle Africa,1991,0.66, Africa
Middle Africa,1992,0.64, Africa
Middle Africa,1993,0.64, Africa
Middle Africa,1994,0.59, Africa
Middle Africa,1995,0.66, Africa
Middle Africa,1996,0.65, Africa
Middle Africa,1997,0.67, Africa
Middle Africa,1998,0.69, Africa
Middle Africa,1999,0.67, Africa
Middle Africa,2000,0.7, Africa
Middle Africa,2001,1.45, Africa
Middle Africa,2002,1.88, Africa
Middle Africa,2003,2.09, Africa
Middle Africa,2004,2.64, Africa
Middle Africa,2005,3.04, Africa
Middle Africa,2006,3.03, Africa
Middle Africa,2007,2.75, Africa
Middle Africa,2008,3.28, Africa
Middle Africa,2009,3.26, Africa
Middle Africa,2010,3.66, Africa
Middle Africa,2011,4.08, Africa
Middle Africa,2012,4.07, Africa
Middle Africa,2013,3.66, Africa
Middle Africa,2014,3.61, Africa
Middle Africa,2015,3.45, Africa
Middle Africa,2016,4.4, Africa
Middle Africa,2017,4.5, Africa
Middle Africa,2018,4.42, Africa
Morocco,1965,0.05, Africa
Morocco,1966,0.05, Africa
Morocco,1967,0.05, Africa
Morocco,1968,0.05, Africa
Morocco,1969,0.05, Africa
Morocco,1970,0.05, Africa
Morocco,1971,0.05, Africa
Morocco,1972,0.05, Africa
Morocco,1973,0.07, Africa
Morocco,1974,0.08, Africa
Morocco,1975,0.07, Africa
Morocco,1976,0.08, Africa
Morocco,1977,0.08, Africa
Morocco,1978,0.08, Africa
Morocco,1979,0.07, Africa
Morocco,1980,0.06, Africa
Morocco,1981,0.08, Africa
Morocco,1982,0.08, Africa
Morocco,1983,0.08, Africa
Morocco,1984,0.08, Africa
Morocco,1985,0.09, Africa
Morocco,1986,0.09, Africa
Morocco,1987,0.07, Africa
Morocco,1988,0.07, Africa
Morocco,1989,0.05, Africa
Morocco,1990,0.05, Africa
Morocco,1991,0.03, Africa
Morocco,1992,0.02, Africa
Morocco,1993,0.02, Africa
Morocco,1994,0.02, Africa
Morocco,1995,0.01, Africa
Morocco,1996,0.02, Africa
Morocco,1997,0.03, Africa
Morocco,1998,0.03, Africa
Morocco,1999,0.04, Africa
Morocco,2000,0.04, Africa
Morocco,2001,0.04, Africa
Morocco,2002,0.05, Africa
Morocco,2003,0.05, Africa
Morocco,2004,0.06, Africa
Morocco,2005,0.43, Africa
Morocco,2006,0.53, Africa
Morocco,2007,0.6, Africa
Morocco,2008,0.59, Africa
Morocco,2009,0.65, Africa
Morocco,2010,0.7, Africa
Morocco,2011,0.88, Africa
Morocco,2012,1.18, Africa
Morocco,2013,1.14, Africa
Morocco,2014,1.11, Africa
Morocco,2015,1.13, Africa
Morocco,2016,1.15, Africa
Morocco,2017,1.14, Africa
Morocco,2018,1.03, Africa
Other Northern Africa,1965,0.01, Africa
Other Northern Africa,1966,0.01, Africa
Other Northern Africa,1967,0.01, Africa
Other Northern Africa,1968,0.01, Africa
Other Northern Africa,1969,0.01, Africa
Other Northern Africa,1970,0.29, Africa
Other Northern Africa,1971,0.22, Africa
Other Northern Africa,1972,0.55, Africa
Other Northern Africa,1973,1.02, Africa
Other Northern Africa,1974,1.16, Africa
Other Northern Africa,1975,1.68, Africa
Other Northern Africa,1976,1.44, Africa
Other Northern Africa,1977,1.63, Africa
Other Northern Africa,1978,1.92, Africa
Other Northern Africa,1979,3.98, Africa
Other Northern Africa,1980,3.53, Africa
Other Northern Africa,1981,3.35, Africa
Other Northern Africa,1982,2.92, Africa
Other Northern Africa,1983,3.02, Africa
Other Northern Africa,1984,3.29, Africa
Other Northern Africa,1985,4.55, Africa
Other Northern Africa,1986,5.32, Africa
Other Northern Africa,1987,5.36, Africa
Other Northern Africa,1988,5.36, Africa
Other Northern Africa,1989,6.64, Africa
Other Northern Africa,1990,6.1, Africa
Other Northern Africa,1991,5.72, Africa
Other Northern Africa,1992,6.22, Africa
