country,type,year,inter_reg
US,Pipeline imports,2000,96.91
US,LNG imports,2000,6.53
US,Total imports,2000,103.44
US,Pipeline exports,2000,4.84
US,LNG exports,2000,1.7
US,Total exports,2000,6.54
Other North America,Pipeline imports,2000,4.84
Other North America,LNG imports,2000,0
Other North America,Total imports,2000,4.84
Other North America,Pipeline exports,2000,96.91
Other North America,LNG exports,2000,0
Other North America,Total exports,2000,96.91
Brazil,Pipeline imports,2000,2.09
Brazil,LNG imports,2000,0
Brazil,Total imports,2000,2.09
Brazil,LNG exports,2000,0
Brazil,Total exports,2000,0
Other S&C America,LNG imports,2000,0.34
Other S&C America,Total imports,2000,0.34
Other S&C America,Pipeline exports,2000,2.09
Other S&C America,LNG exports,2000,4.02
Other S&C America,Total exports,2000,6.11
Europe,Pipeline imports,2000,223.31
Europe,of which: Russia,2000,190.16
Europe,Africa,2000,33.14
Europe,Other CIS,2000,0
Europe,Middle East,2000,0
Europe,LNG imports,2000,32.86
Europe,Total imports,2000,256.17
Europe,LNG exports,2000,0
Europe,Total exports,2000,0.12
Russia,Pipeline imports,2000,38.15
Russia,Total imports,2000,38.15
Russia,Pipeline exports,2000,209.28
Russia,of which: Europe,2000,190.16
Russia,Other CIS,2000,19.12
Russia,LNG exports,2000,0
Russia,Total exports,2000,209.28
Other CIS,Pipeline imports,2000,19.24
Other CIS,Total imports,2000,19.24
Other CIS,Pipeline exports,2000,40.92
Other CIS,of which: China,2000,0
Other CIS,Europe,2000,0
Other CIS,Middle East,2000,2.77
Other CIS,Russia,2000,38.15
Other CIS,Total exports,2000,40.92
Middle East,Pipeline imports,2000,2.77
Middle East,of which: Africa,2000,0
Middle East,Other CIS,2000,2.77
Middle East,LNG imports,2000,0
Middle East,Total imports,2000,2.77
Middle East,Pipeline exports,2000,0
Middle East,LNG exports,2000,24.57
Middle East,Total exports,2000,24.57
Africa,LNG imports,2000,0
Africa,Total imports,2000,0
Africa,Pipeline exports,2000,33.14
Africa,of which: Europe,2000,33.14
Africa,Middle East,2000,0
Africa,LNG exports,2000,32.91
Africa,Total exports,2000,66.06
China,Pipeline imports,2000,0
China,of which: Other Asia,2000,0
China,Other CIS,2000,0
China,LNG imports,2000,0
China,Total imports,2000,0
India,LNG imports,2000,0
India,Total imports,2000,0
India,LNG exports,2000,0
India,Total exports,2000,0
OECD Asia,Pipeline imports,2000,0
OECD Asia,LNG imports,2000,94.57
OECD Asia,Total imports,2000,94.57
OECD Asia,LNG exports,2000,10.26
OECD Asia,Total exports,2000,10.26
Other Asia,LNG imports,2000,6.18
Other Asia,Total imports,2000,6.18
Other Asia,Pipeline exports,2000,0
Other Asia,of which: China,2000,0
Other Asia,OECD Asia,2000,0
Other Asia,LNG exports,2000,67.02
Other Asia,Total exports,2000,67.02
World,Inter-regional pipeline trade,2000,387.32
World,LNG trade,2000,140.48
World,Total trade,2000,527.79
US,Pipeline imports,2001,101.9
US,LNG imports,2001,6.9
US,Total imports,2001,108.8
US,Pipeline exports,2001,8.37
US,LNG exports,2001,1.75
US,Total exports,2001,10.12
Other North America,Pipeline imports,2001,8.37
Other North America,LNG imports,2001,0
Other North America,Total imports,2001,8.37
Other North America,Pipeline exports,2001,101.9
Other North America,LNG exports,2001,0
Other North America,Total exports,2001,101.9
Brazil,Pipeline imports,2001,4.36
Brazil,LNG imports,2001,0
Brazil,Total imports,2001,4.36
Brazil,LNG exports,2001,0
Brazil,Total exports,2001,0
Other S&C America,LNG imports,2001,0.66
Other S&C America,Total imports,2001,0.66
Other S&C America,Pipeline exports,2001,4.36
Other S&C America,LNG exports,2001,3.82
Other S&C America,Total exports,2001,8.18
Europe,Pipeline imports,2001,213.6
Europe,of which: Russia,2001,184.58
Europe,Africa,2001,29.02
Europe,Other CIS,2001,0
Europe,Middle East,2001,0
Europe,LNG imports,2001,34.26
Europe,Total imports,2001,247.86
Europe,LNG exports,2001,0
Europe,Total exports,2001,0
Russia,Pipeline imports,2001,36.66
Russia,Total imports,2001,36.66
Russia,Pipeline exports,2001,204.19
Russia,of which: Europe,2001,184.58
Russia,Other CIS,2001,19.62
Russia,LNG exports,2001,0
Russia,Total exports,2001,204.19
Other CIS,Pipeline imports,2001,19.62
Other CIS,Total imports,2001,19.62
Other CIS,Pipeline exports,2001,41.05
Other CIS,of which: China,2001,0
Other CIS,Europe,2001,0
Other CIS,Middle East,2001,4.4
Other CIS,Russia,2001,36.66
Other CIS,Total exports,2001,41.05
Middle East,Pipeline imports,2001,4.4
Middle East,of which: Africa,2001,0
Middle East,Other CIS,2001,4.4
Middle East,LNG imports,2001,0
Middle East,Total imports,2001,4.4
Middle East,Pipeline exports,2001,0
Middle East,LNG exports,2001,32.92
Middle East,Total exports,2001,32.92
Africa,LNG imports,2001,0
Africa,Total imports,2001,0
Africa,Pipeline exports,2001,29.02
Africa,of which: Europe,2001,29.02
Africa,Middle East,2001,0
Africa,LNG exports,2001,34.9
Africa,Total exports,2001,63.93
China,Pipeline imports,2001,0
China,of which: Other Asia,2001,0
China,Other CIS,2001,0
China,LNG imports,2001,0
China,Total imports,2001,0
India,LNG imports,2001,0
India,Total imports,2001,0
India,LNG exports,2001,0
India,Total exports,2001,0
OECD Asia,Pipeline imports,2001,0
OECD Asia,LNG imports,2001,98.85
OECD Asia,Total imports,2001,98.85
OECD Asia,LNG exports,2001,10.41
OECD Asia,Total exports,2001,10.41
Other Asia,LNG imports,2001,6.59
Other Asia,Total imports,2001,6.59
Other Asia,Pipeline exports,2001,0
Other Asia,of which: China,2001,0
Other Asia,OECD Asia,2001,0
Other Asia,LNG exports,2001,63.47
Other Asia,Total exports,2001,63.47
World,Inter-regional pipeline trade,2001,388.9
World,LNG trade,2001,147.26
World,Total trade,2001,536.17
US,Pipeline imports,2002,103.21
US,LNG imports,2002,6.78
US,Total imports,2002,109.99
