country,year,gas_production_bcm,region
Algeria,1970,2.44, Africa
Algeria,1971,2.57, Africa
Algeria,1972,3.26, Africa
Algeria,1973,4.32, Africa
Algeria,1974,5, Africa
Algeria,1975,6.15, Africa
Algeria,1976,7.75, Africa
Algeria,1977,7.42, Africa
Algeria,1978,11.5, Africa
Algeria,1979,18.85, Africa
Algeria,1980,15.41, Africa
Algeria,1981,17.86, Africa
Algeria,1982,23.31, Africa
Algeria,1983,33.38, Africa
Algeria,1984,33.98, Africa
Algeria,1985,37.34, Africa
Algeria,1986,38.19, Africa
Algeria,1987,43.1, Africa
Algeria,1988,45.06, Africa
Algeria,1989,48.58, Africa
Algeria,1990,51.66, Africa
Algeria,1991,55.7, Africa
Algeria,1992,58, Africa
Algeria,1993,58.75, Africa
Algeria,1994,54.01, Africa
Algeria,1995,61.49, Africa
Algeria,1996,65.25, Africa
Algeria,1997,74.86, Africa
Algeria,1998,80.16, Africa
Algeria,1999,90.11, Africa
Algeria,2000,91.89, Africa
Algeria,2001,86.47, Africa
Algeria,2002,88.94, Africa
Algeria,2003,93.86, Africa
Algeria,2004,92.05, Africa
Algeria,2005,84.91, Africa
Algeria,2006,81.3, Africa
Algeria,2007,81.65, Africa
Algeria,2008,82.6, Africa
Algeria,2009,76.57, Africa
Algeria,2010,77.4, Africa
Algeria,2011,79.6, Africa
Algeria,2012,78.44, Africa
Algeria,2013,79.34, Africa
Algeria,2014,80.17, Africa
Algeria,2015,81.41, Africa
Algeria,2016,91.39, Africa
Algeria,2017,92.98, Africa
Algeria,2018,92.3, Africa
Egypt,1970,0.08, Africa
Egypt,1971,0.08, Africa
Egypt,1972,0.07, Africa
Egypt,1973,0.05, Africa
Egypt,1974,0.06, Africa
Egypt,1975,0.05, Africa
Egypt,1976,0.37, Africa
Egypt,1977,0.44, Africa
Egypt,1978,0.71, Africa
Egypt,1979,1.08, Africa
Egypt,1980,2.1, Africa
Egypt,1981,2.35, Africa
Egypt,1982,2.57, Africa
Egypt,1983,3.01, Africa
Egypt,1984,3.87, Africa
Egypt,1985,4.75, Africa
Egypt,1986,5.47, Africa
Egypt,1987,6.04, Africa
Egypt,1988,6.66, Africa
Egypt,1989,7.45, Africa
Egypt,1990,7.77, Africa
Egypt,1991,8.74, Africa
Egypt,1992,9.45, Africa
Egypt,1993,10.87, Africa
Egypt,1994,11.65, Africa
Egypt,1995,12.03, Africa
Egypt,1996,12.8, Africa
Egypt,1997,13.09, Africa
Egypt,1998,13.48, Africa
Egypt,1999,16.17, Africa
Egypt,2000,20.21, Africa
Egypt,2001,24.26, Africa
Egypt,2002,26.28, Africa
Egypt,2003,28.97, Africa
Egypt,2004,31.76, Africa
Egypt,2005,40.91, Africa
Egypt,2006,52.65, Africa
Egypt,2007,53.6, Africa
Egypt,2008,56.76, Africa
Egypt,2009,60.34, Africa
Egypt,2010,59.02, Africa
Egypt,2011,59.14, Africa
Egypt,2012,58.6, Africa
Egypt,2013,53.96, Africa
Egypt,2014,46.96, Africa
Egypt,2015,42.59, Africa
Egypt,2016,40.25, Africa
Egypt,2017,48.81, Africa
Egypt,2018,58.56, Africa
Libya,1970,0.28, Africa
Libya,1971,0.67, Africa
Libya,1972,2.69, Africa
Libya,1973,4.3, Africa
Libya,1974,3.87, Africa
Libya,1975,4.4, Africa
Libya,1976,4.54, Africa
Libya,1977,4.8, Africa
Libya,1978,4.86, Africa
Libya,1979,6.45, Africa
Libya,1980,4.91, Africa
Libya,1981,2.99, Africa
Libya,1982,3.18, Africa
Libya,1983,3.52, Africa
Libya,1984,4.37, Africa
Libya,1985,4.94, Africa
Libya,1986,5.32, Africa
Libya,1987,4.75, Africa
Libya,1988,5.22, Africa
Libya,1989,6.46, Africa
Libya,1990,5.89, Africa
Libya,1991,6.21, Africa
Libya,1992,6.43, Africa
Libya,1993,6.04, Africa
Libya,1994,6.07, Africa
Libya,1995,6.02, Africa
Libya,1996,6.1, Africa
Libya,1997,6.24, Africa
Libya,1998,6.04, Africa
Libya,1999,4.94, Africa
Libya,2000,5.59, Africa
Libya,2001,5.87, Africa
Libya,2002,5.61, Africa
Libya,2003,5.22, Africa
Libya,2004,7.66, Africa
Libya,2005,10.74, Africa
Libya,2006,12.54, Africa
Libya,2007,14.52, Africa
Libya,2008,15.11, Africa
Libya,2009,15.11, Africa
Libya,2010,15.97, Africa
Libya,2011,7.46, Africa
Libya,2012,11.59, Africa
Libya,2013,12.16, Africa
Libya,2014,11.83, Africa
Libya,2015,11.02, Africa
Libya,2016,9.4, Africa
Libya,2017,9.59, Africa
Libya,2018,9.8, Africa
Nigeria,1970,0.11, Africa
Nigeria,1971,0.2, Africa
Nigeria,1972,0.26, Africa
Nigeria,1973,0.4, Africa
