country,year,oil_consumption_barrels,region
Algeria,1965,26.72, Africa
Algeria,1966,35.35, Africa
Algeria,1967,33.29, Africa
Algeria,1968,35.37, Africa
Algeria,1969,37.71, Africa
Algeria,1970,43.01, Africa
Algeria,1971,48.88, Africa
Algeria,1972,53.54, Africa
Algeria,1973,58.85, Africa
Algeria,1974,65.64, Africa
Algeria,1975,72.88, Africa
Algeria,1976,84.68, Africa
Algeria,1977,95.22, Africa
Algeria,1978,99.39, Africa
Algeria,1979,118.64, Africa
Algeria,1980,120.23, Africa
Algeria,1981,130.1, Africa
Algeria,1982,137.66, Africa
Algeria,1983,155.15, Africa
Algeria,1984,171.79, Africa
Algeria,1985,176.33, Africa
Algeria,1986,179.95, Africa
Algeria,1987,182.64, Africa
Algeria,1988,181.76, Africa
Algeria,1989,191.97, Africa
Algeria,1990,212.25, Africa
Algeria,1991,207.48, Africa
Algeria,1992,209.64, Africa
Algeria,1993,208.37, Africa
Algeria,1994,202.17, Africa
Algeria,1995,196.47, Africa
Algeria,1996,185.47, Africa
Algeria,1997,185.63, Africa
Algeria,1998,192.28, Africa
Algeria,1999,185.52, Africa
Algeria,2000,190.4, Africa
Algeria,2001,197.55, Africa
Algeria,2002,220.02, Africa
Algeria,2003,228.94, Africa
Algeria,2004,238.27, Africa
Algeria,2005,249.25, Africa
Algeria,2006,257.55, Africa
Algeria,2007,285.98, Africa
Algeria,2008,308.66, Africa
Algeria,2009,326.53, Africa
Algeria,2010,326.95, Africa
Algeria,2011,349.47, Africa
Algeria,2012,369.84, Africa
Algeria,2013,387.41, Africa
Algeria,2014,400.61, Africa
Algeria,2015,424.98, Africa
Algeria,2016,412.22, Africa
Algeria,2017,407.55, Africa
Algeria,2018,413.88, Africa
Eastern Africa,1965,110.6, Africa
Eastern Africa,1966,116.55, Africa
Eastern Africa,1967,122.65, Africa
Eastern Africa,1968,127.38, Africa
Eastern Africa,1969,135.39, Africa
Eastern Africa,1970,141.49, Africa
Eastern Africa,1971,168.2, Africa
Eastern Africa,1972,174.61, Africa
Eastern Africa,1973,183.67, Africa
Eastern Africa,1974,183.26, Africa
Eastern Africa,1975,177.17, Africa
Eastern Africa,1976,176.61, Africa
Eastern Africa,1977,180.55, Africa
Eastern Africa,1978,177.97, Africa
Eastern Africa,1979,181.15, Africa
Eastern Africa,1980,187.42, Africa
Eastern Africa,1981,182.65, Africa
Eastern Africa,1982,176.1, Africa
Eastern Africa,1983,175.05, Africa
Eastern Africa,1984,177.52, Africa
Eastern Africa,1985,182.31, Africa
Eastern Africa,1986,193.57, Africa
Eastern Africa,1987,196.47, Africa
Eastern Africa,1988,213.46, Africa
Eastern Africa,1989,222.03, Africa
Eastern Africa,1990,226.46, Africa
Eastern Africa,1991,220.08, Africa
Eastern Africa,1992,220.47, Africa
Eastern Africa,1993,227.04, Africa
Eastern Africa,1994,238.99, Africa
Eastern Africa,1995,248.42, Africa
Eastern Africa,1996,255.82, Africa
Eastern Africa,1997,260.45, Africa
Eastern Africa,1998,264.77, Africa
Eastern Africa,1999,279.08, Africa
Eastern Africa,2000,280.25, Africa
Eastern Africa,2001,296.84, Africa
Eastern Africa,2002,301.31, Africa
Eastern Africa,2003,303.11, Africa
Eastern Africa,2004,329.35, Africa
Eastern Africa,2005,345.37, Africa
Eastern Africa,2006,366.3, Africa
Eastern Africa,2007,376.88, Africa
Eastern Africa,2008,385.55, Africa
Eastern Africa,2009,404.13, Africa
Eastern Africa,2010,419.37, Africa
Eastern Africa,2011,444.81, Africa
Eastern Africa,2012,456.79, Africa
Eastern Africa,2013,483.53, Africa
Eastern Africa,2014,507.3, Africa
Eastern Africa,2015,559.43, Africa
Eastern Africa,2016,572.89, Africa
Eastern Africa,2017,604.39, Africa
Eastern Africa,2018,623.07, Africa
Egypt,1965,130.74, Africa
Egypt,1966,139.93, Africa
Egypt,1967,115.72, Africa
Egypt,1968,120.5, Africa
Egypt,1969,91.51, Africa
Egypt,1970,117.09, Africa
Egypt,1971,122.03, Africa
Egypt,1972,139.71, Africa
Egypt,1973,131.57, Africa
Egypt,1974,145.61, Africa
Egypt,1975,159.37, Africa
Egypt,1976,187.3, Africa
Egypt,1977,201.08, Africa
Egypt,1978,208.77, Africa
Egypt,1979,229.01, Africa
Egypt,1980,256.53, Africa
Egypt,1981,296.01, Africa
Egypt,1982,336.03, Africa
Egypt,1983,369.98, Africa
Egypt,1984,398.21, Africa
Egypt,1985,406.15, Africa
Egypt,1986,408.89, Africa
Egypt,1987,424.8, Africa
Egypt,1988,430.61, Africa
Egypt,1989,449.76, Africa
Egypt,1990,465.02, Africa
Egypt,1991,457.24, Africa
Egypt,1992,444.78, Africa
Egypt,1993,427.44, Africa
Egypt,1994,426.7, Africa
Egypt,1995,462.57, Africa
Egypt,1996,488.43, Africa
Egypt,1997,517.85, Africa
Egypt,1998,545.46, Africa
Egypt,1999,560.04, Africa
Egypt,2000,551.94, Africa
Egypt,2001,537.1, Africa
Egypt,2002,524.37, Africa
Egypt,2003,540.1, Africa
Egypt,2004,555.95, Africa
Egypt,2005,616.58, Africa
Egypt,2006,601.23, Africa
Egypt,2007,641.57, Africa
Egypt,2008,685.63, Africa
Egypt,2009,724.66, Africa
Egypt,2010,765.81, Africa
Egypt,2011,720.2, Africa
Egypt,2012,746.94, Africa
Egypt,2013,755.86, Africa
Egypt,2014,806.4, Africa
Egypt,2015,834.2, Africa
Egypt,2016,856.89, Africa
Egypt,2017,806.15, Africa
Egypt,2018,760.02, Africa
Middle Africa,1965,40.11, Africa
Middle Africa,1966,40.9, Africa
Middle Africa,1967,41.87, Africa
Middle Africa,1968,42.89, Africa
Middle Africa,1969,44.42, Africa
Middle Africa,1970,45.09, Africa
Middle Africa,1971,52.94, Africa
Middle Africa,1972,55.66, Africa
Middle Africa,1973,57.6, Africa
Middle Africa,1974,59.9, Africa
Middle Africa,1975,58, Africa
Middle Africa,1976,60.02, Africa
Middle Africa,1977,63.95, Africa
Middle Africa,1978,75.07, Africa
Middle Africa,1979,76.42, Africa
Middle Africa,1980,76.36, Africa
Middle Africa,1981,81.11, Africa
Middle Africa,1982,75.87, Africa
Middle Africa,1983,85.74, Africa
Middle Africa,1984,78.57, Africa
Middle Africa,1985,88.19, Africa
Middle Africa,1986,85.32, Africa
Middle Africa,1987,87.35, Africa
Middle Africa,1988,91.69, Africa
Middle Africa,1989,93.69, Africa
Middle Africa,1990,85.67, Africa
Middle Africa,1991,82.01, Africa
Middle Africa,1992,81.18, Africa
Middle Africa,1993,84.46, Africa
Middle Africa,1994,83.99, Africa
Middle Africa,1995,81.4, Africa
Middle Africa,1996,81.96, Africa
Middle Africa,1997,85.06, Africa
Middle Africa,1998,80.43, Africa
Middle Africa,1999,84.78, Africa
Middle Africa,2000,92.39, Africa
Middle Africa,2001,98.24, Africa
Middle Africa,2002,101.06, Africa
Middle Africa,2003,111.33, Africa
Middle Africa,2004,118.43, Africa
Middle Africa,2005,110.03, Africa
Middle Africa,2006,125.5, Africa
Middle Africa,2007,141.9, Africa
Middle Africa,2008,161.9, Africa
Middle Africa,2009,181.55, Africa
Middle Africa,2010,195.57, Africa
Middle Africa,2011,215.76, Africa
Middle Africa,2012,223.75, Africa
Middle Africa,2013,245.69, Africa
Middle Africa,2014,261.62, Africa
Middle Africa,2015,253.55, Africa
Middle Africa,2016,249.96, Africa
Middle Africa,2017,250.89, Africa
Middle Africa,2018,257.23, Africa
Morocco,1965,20.74, Africa
Morocco,1966,28.18, Africa
Morocco,1967,30.96, Africa
Morocco,1968,33.89, Africa
Morocco,1969,36.78, Africa
Morocco,1970,38.5, Africa
Morocco,1971,40.64, Africa
Morocco,1972,43.34, Africa
Morocco,1973,51.48, Africa
Morocco,1974,54.99, Africa
Morocco,1975,57.3, Africa
Morocco,1976,62.24, Africa
Morocco,1977,70.35, Africa
Morocco,1978,75.38, Africa
Morocco,1979,85.36, Africa
Morocco,1980,85.82, Africa
Morocco,1981,84.66, Africa
Morocco,1982,89.09, Africa
Morocco,1983,90.16, Africa
Morocco,1984,93.24, Africa
Morocco,1985,93.57, Africa
Morocco,1986,92.72, Africa
Morocco,1987,93.46, Africa
Morocco,1988,99.66, Africa
Morocco,1989,109.01, Africa
Morocco,1990,112.57, Africa
Morocco,1991,114.2, Africa
Morocco,1992,133.89, Africa
Morocco,1993,137.49, Africa
Morocco,1994,149.36, Africa
Morocco,1995,143.07, Africa
Morocco,1996,136.18, Africa
Morocco,1997,144.94, Africa
Morocco,1998,144.5, Africa
Morocco,1999,158.66, Africa
Morocco,2000,149.7, Africa
Morocco,2001,151.64, Africa
Morocco,2002,157.46, Africa
Morocco,2003,158.45, Africa
Morocco,2004,181.71, Africa
Morocco,2005,196.88, Africa
Morocco,2006,201.11, Africa
Morocco,2007,211.19, Africa
Morocco,2008,231.08, Africa
Morocco,2009,234.5, Africa
Morocco,2010,258.09, Africa
Morocco,2011,274.6, Africa
Morocco,2012,276.83, Africa
Morocco,2013,281.79, Africa
Morocco,2014,271.85, Africa
Morocco,2015,267.79, Africa
Morocco,2016,274.65, Africa
Morocco,2017,290.33, Africa
Morocco,2018,285.64, Africa
Other Northern Africa,1965,28.09, Africa
Other Northern Africa,1966,31.17, Africa
Other Northern Africa,1967,33.35, Africa
Other Northern Africa,1968,38, Africa
Other Northern Africa,1969,42.49, Africa
Other Northern Africa,1970,46.08, Africa
Other Northern Africa,1971,43.18, Africa
Other Northern Africa,1972,50.19, Africa
Other Northern Africa,1973,64.25, Africa
Other Northern Africa,1974,70.17, Africa
Other Northern Africa,1975,71.9, Africa
Other Northern Africa,1976,93.66, Africa
Other Northern Africa,1977,106.45, Africa
Other Northern Africa,1978,116.67, Africa
Other Northern Africa,1979,127.47, Africa
Other Northern Africa,1980,142.71, Africa
Other Northern Africa,1981,158.64, Africa
Other Northern Africa,1982,171.65, Africa
Other Northern Africa,1983,180.27, Africa
Other Northern Africa,1984,173.47, Africa
Other Northern Africa,1985,183.16, Africa
Other Northern Africa,1986,176.87, Africa
Other Northern Africa,1987,205.32, Africa
Other Northern Africa,1988,211.05, Africa
