country,year,oil_production_barrels,region
Algeria,1965,569.94, Africa
Algeria,1966,733.59, Africa
Algeria,1967,842.66, Africa
Algeria,1968,922.5, Africa
Algeria,1969,969.33, Africa
Algeria,1970,1053.93, Africa
Algeria,1971,802.59, Africa
Algeria,1972,1081.05, Africa
Algeria,1973,1128.74, Africa
Algeria,1974,1045.98, Africa
Algeria,1975,1025.5, Africa
Algeria,1976,1144.41, Africa
Algeria,1977,1224.79, Africa
Algeria,1978,1252.73, Africa
Algeria,1979,1282.88, Africa
Algeria,1980,1134.18, Africa
Algeria,1981,1029.28, Africa
Algeria,1982,1039.66, Africa
Algeria,1983,1026.93, Africa
Algeria,1984,1122.49, Africa
Algeria,1985,1087.03, Africa
Algeria,1986,1126, Africa
Algeria,1987,1178.14, Africa
Algeria,1988,1232.92, Africa
Algeria,1989,1276.4, Africa
Algeria,1990,1366.6, Africa
Algeria,1991,1372.67, Africa
Algeria,1992,1320.57, Africa
Algeria,1993,1321.58, Africa
Algeria,1994,1317.14, Africa
Algeria,1995,1309.54, Africa
Algeria,1996,1378.67, Africa
Algeria,1997,1447.52, Africa
Algeria,1998,1452.01, Africa
Algeria,1999,1397.94, Africa
Algeria,2000,1549.13, Africa
Algeria,2001,1534.25, Africa
Algeria,2002,1653.01, Africa
Algeria,2003,1826.28, Africa
Algeria,2004,1920.66, Africa
Algeria,2005,1989.93, Africa
Algeria,2006,1979.5, Africa
Algeria,2007,1992.27, Africa
Algeria,2008,1950.98, Africa
Algeria,2009,1774.86, Africa
Algeria,2010,1689.15, Africa
Algeria,2011,1641.5, Africa
Algeria,2012,1536.81, Africa
Algeria,2013,1485.23, Africa
Algeria,2014,1589.09, Africa
Algeria,2015,1557.67, Africa
Algeria,2016,1577, Africa
Algeria,2017,1540.33, Africa
Algeria,2018,1509.73, Africa
Angola,1965,13.3, Africa
Angola,1966,12.81, Africa
Angola,1967,10.9, Africa
Angola,1968,15.18, Africa
Angola,1969,49.9, Africa
Angola,1970,102.83, Africa
Angola,1971,116.14, Africa
Angola,1972,142.88, Africa
Angola,1973,165.96, Africa
Angola,1974,173.39, Africa
Angola,1975,158.17, Africa
Angola,1976,153.14, Africa
Angola,1977,143.37, Africa
Angola,1978,131.33, Africa
Angola,1979,146.17, Africa
Angola,1980,150.39, Africa
Angola,1981,145.32, Africa
Angola,1982,130.13, Africa
Angola,1983,178.45, Africa
Angola,1984,203.96, Africa
Angola,1985,232.49, Africa
Angola,1986,282.72, Africa
Angola,1987,355.4, Africa
Angola,1988,451.89, Africa
Angola,1989,459.66, Africa
Angola,1990,474.65, Africa
Angola,1991,497.67, Africa
Angola,1992,549.74, Africa
Angola,1993,503.68, Africa
Angola,1994,556.74, Africa
Angola,1995,632.85, Africa
Angola,1996,715.98, Africa
Angola,1997,741, Africa
Angola,1998,730.85, Africa
Angola,1999,745.06, Africa
Angola,2000,746.06, Africa
Angola,2001,742.02, Africa
Angola,2002,905.44, Africa
Angola,2003,869.56, Africa
Angola,2004,1106.44, Africa
Angola,2005,1269.02, Africa
Angola,2006,1401.44, Africa
Angola,2007,1655.99, Africa
Angola,2008,1876.32, Africa
Angola,2009,1753.83, Africa
Angola,2010,1812.32, Africa
Angola,2011,1670.4, Africa
Angola,2012,1734.06, Africa
Angola,2013,1737.85, Africa
Angola,2014,1701.37, Africa
Angola,2015,1795.65, Africa
Angola,2016,1744.84, Africa
Angola,2017,1676.49, Africa
Angola,2018,1533.97, Africa
Chad,1965,, Africa
Chad,1966,, Africa
Chad,1967,, Africa
Chad,1968,, Africa
Chad,1969,, Africa
Chad,1970,, Africa
Chad,1971,, Africa
Chad,1972,, Africa
Chad,1973,, Africa
Chad,1974,, Africa
Chad,1975,, Africa
Chad,1976,, Africa
Chad,1977,, Africa
Chad,1978,, Africa
Chad,1979,, Africa
Chad,1980,, Africa
Chad,1981,, Africa
Chad,1982,, Africa
Chad,1983,, Africa
Chad,1984,, Africa
Chad,1985,, Africa
Chad,1986,, Africa
Chad,1987,, Africa
Chad,1988,, Africa
Chad,1989,, Africa
Chad,1990,, Africa
Chad,1991,, Africa
Chad,1992,, Africa
Chad,1993,, Africa
Chad,1994,, Africa
Chad,1995,, Africa
Chad,1996,, Africa
Chad,1997,, Africa
Chad,1998,, Africa
Chad,1999,, Africa
Chad,2000,, Africa
Chad,2001,, Africa
Chad,2002,, Africa
Chad,2003,23.56, Africa
Chad,2004,167.76, Africa
Chad,2005,173.42, Africa
Chad,2006,153.15, Africa
Chad,2007,143.56, Africa
Chad,2008,127.05, Africa
Chad,2009,117.81, Africa
Chad,2010,121.92, Africa
Chad,2011,113.7, Africa
Chad,2012,100.82, Africa
Chad,2013,90.64, Africa
Chad,2014,88.8, Africa
Chad,2015,110.61, Africa
Chad,2016,102.96, Africa
Chad,2017,103.77, Africa
Chad,2018,100.59, Africa
Egypt,1965,126.01, Africa
Egypt,1966,121.71, Africa
Egypt,1967,108.56, Africa
Egypt,1968,166.38, Africa
Egypt,1969,239.16, Africa
Egypt,1970,319.09, Africa
Egypt,1971,290.85, Africa
Egypt,1972,207.96, Africa
Egypt,1973,164.93, Africa
Egypt,1974,144.98, Africa
Egypt,1975,228.25, Africa
Egypt,1976,322.22, Africa
Egypt,1977,406.55, Africa
Egypt,1978,490.74, Africa
Egypt,1979,509.32, Africa
Egypt,1980,580.12, Africa
Egypt,1981,628, Africa
Egypt,1982,650.79, Africa
Egypt,1983,711.81, Africa
Egypt,1984,815.94, Africa
Egypt,1985,882.03, Africa
Egypt,1986,806.47, Africa
Egypt,1987,907.48, Africa
Egypt,1988,868.77, Africa
Egypt,1989,878.02, Africa
Egypt,1990,897.13, Africa
Egypt,1991,895.72, Africa
Egypt,1992,905.97, Africa
Egypt,1993,940.69, Africa
Egypt,1994,921.43, Africa
Egypt,1995,923.51, Africa
Egypt,1996,893.83, Africa
Egypt,1997,872.5, Africa
Egypt,1998,856.73, Africa
Egypt,1999,827.45, Africa
Egypt,2000,778.74, Africa
Egypt,2001,758.44, Africa
Egypt,2002,751.42, Africa
Egypt,2003,749.52, Africa
Egypt,2004,701.06, Africa
Egypt,2005,671.84, Africa
Egypt,2006,678.67, Africa
Egypt,2007,698.44, Africa
Egypt,2008,715.3, Africa
Egypt,2009,729.99, Africa
Egypt,2010,724.66, Africa
Egypt,2011,714.34, Africa
Egypt,2012,715.3, Africa
Egypt,2013,709.81, Africa
Egypt,2014,714.45, Africa
Egypt,2015,726.25, Africa
Egypt,2016,691.39, Africa
Egypt,2017,660.2, Africa
Egypt,2018,669.76, Africa
Equatorial Guinea,1965,, Africa
Equatorial Guinea,1966,, Africa
Equatorial Guinea,1967,, Africa
Equatorial Guinea,1968,, Africa
Equatorial Guinea,1969,, Africa
Equatorial Guinea,1970,, Africa
Equatorial Guinea,1971,, Africa
Equatorial Guinea,1972,, Africa
Equatorial Guinea,1973,, Africa
Equatorial Guinea,1974,, Africa
Equatorial Guinea,1975,, Africa
Equatorial Guinea,1976,, Africa
Equatorial Guinea,1977,, Africa
Equatorial Guinea,1978,, Africa
Equatorial Guinea,1979,, Africa
Equatorial Guinea,1980,, Africa
Equatorial Guinea,1981,, Africa
Equatorial Guinea,1982,, Africa
Equatorial Guinea,1983,, Africa
Equatorial Guinea,1984,, Africa
Equatorial Guinea,1985,, Africa
Equatorial Guinea,1986,, Africa
Equatorial Guinea,1987,, Africa
Equatorial Guinea,1988,, Africa
Equatorial Guinea,1989,, Africa
Equatorial Guinea,1990,, Africa
Equatorial Guinea,1991,, Africa
Equatorial Guinea,1992,2, Africa
Equatorial Guinea,1993,5, Africa
Equatorial Guinea,1994,5, Africa
Equatorial Guinea,1995,7, Africa
Equatorial Guinea,1996,17, Africa
Equatorial Guinea,1997,60, Africa
Equatorial Guinea,1998,83, Africa
Equatorial Guinea,1999,100, Africa
Equatorial Guinea,2000,118, Africa
Equatorial Guinea,2001,194, Africa
Equatorial Guinea,2002,230, Africa
Equatorial Guinea,2003,266, Africa
Equatorial Guinea,2004,351, Africa
Equatorial Guinea,2005,380.18, Africa
Equatorial Guinea,2006,364.3, Africa
Equatorial Guinea,2007,373.6, Africa
Equatorial Guinea,2008,369.11, Africa
Equatorial Guinea,2009,332.05, Africa
Equatorial Guinea,2010,306.11, Africa
Equatorial Guinea,2011,300.64, Africa
Equatorial Guinea,2012,319.73, Africa
Equatorial Guinea,2013,282.14, Africa
Equatorial Guinea,2014,284.4, Africa
Equatorial Guinea,2015,259.73, Africa
Equatorial Guinea,2016,223.08, Africa
Equatorial Guinea,2017,195.28, Africa
Equatorial Guinea,2018,190.15, Africa
Gabon,1965,25.33, Africa
Gabon,1966,28.98, Africa
Gabon,1967,68.99, Africa
Gabon,1968,92.69, Africa
Gabon,1969,100.68, Africa
Gabon,1970,108.61, Africa
Gabon,1971,116.06, Africa
Gabon,1972,125.89, Africa
Gabon,1973,152.15, Africa
Gabon,1974,204.32, Africa
Gabon,1975,226.61, Africa
Gabon,1976,226.17, Africa
Gabon,1977,225.65, Africa
Gabon,1978,212.29, Africa
Gabon,1979,196.23, Africa
Gabon,1980,177.66, Africa
Gabon,1981,153.25, Africa
Gabon,1982,156.05, Africa
Gabon,1983,157.6, Africa
Gabon,1984,174.36, Africa
Gabon,1985,172.76, Africa
Gabon,1986,166.13, Africa
Gabon,1987,154.79, Africa
Gabon,1988,177.6, Africa
Gabon,1989,204.82, Africa
Gabon,1990,270.23, Africa
Gabon,1991,294.56, Africa
Gabon,1992,288.65, Africa
Gabon,1993,304.88, Africa
Gabon,1994,337.2, Africa
Gabon,1995,355.61, Africa
Gabon,1996,364.5, Africa
Gabon,1997,364.38, Africa
Gabon,1998,337.42, Africa
Gabon,1999,339.97, Africa
Gabon,2000,276, Africa
Gabon,2001,262, Africa
Gabon,2002,256, Africa
Gabon,2003,274, Africa
Gabon,2004,273, Africa
Gabon,2005,270.33, Africa
Gabon,2006,241.94, Africa
