country,year,oil_proved_reserves_history,region
Algeria,1980,8.2, Africa
Algeria,1981,8.08, Africa
Algeria,1982,9.44, Africa
Algeria,1983,9.22, Africa
Algeria,1984,9, Africa
Algeria,1985,8.82, Africa
Algeria,1986,8.8, Africa
Algeria,1987,8.56, Africa
Algeria,1988,9.2, Africa
Algeria,1989,9.24, Africa
Algeria,1990,9.2, Africa
Algeria,1991,9.2, Africa
Algeria,1992,9.2, Africa
Algeria,1993,9.2, Africa
Algeria,1994,9.98, Africa
Algeria,1995,9.98, Africa
Algeria,1996,10.8, Africa
Algeria,1997,11.2, Africa
Algeria,1998,11.31, Africa
Algeria,1999,11.31, Africa
Algeria,2000,11.31, Africa
Algeria,2001,11.31, Africa
Algeria,2002,11.31, Africa
Algeria,2003,11.8, Africa
Algeria,2004,11.8, Africa
Algeria,2005,12.27, Africa
Algeria,2006,12.27, Africa
Algeria,2007,12.2, Africa
Algeria,2008,12.2, Africa
Algeria,2009,12.2, Africa
Algeria,2010,12.2, Africa
Algeria,2011,12.2, Africa
Algeria,2012,12.2, Africa
Algeria,2013,12.2, Africa
Algeria,2014,12.2, Africa
Algeria,2015,12.2, Africa
Algeria,2016,12.2, Africa
Algeria,2017,12.2, Africa
Algeria,2018,12.2, Africa
Angola,1980,1.38, Africa
Angola,1981,1.11, Africa
Angola,1982,1.46, Africa
Angola,1983,1.72, Africa
Angola,1984,2.15, Africa
Angola,1985,2.02, Africa
Angola,1986,1.4, Africa
Angola,1987,2, Africa
Angola,1988,2, Africa
Angola,1989,2.07, Africa
Angola,1990,1.62, Africa
Angola,1991,1.45, Africa
Angola,1992,1.33, Africa
Angola,1993,1.9, Africa
Angola,1994,2.96, Africa
Angola,1995,3.12, Africa
Angola,1996,3.69, Africa
Angola,1997,3.9, Africa
Angola,1998,4.03, Africa
Angola,1999,5.05, Africa
Angola,2000,5.97, Africa
Angola,2001,6.5, Africa
Angola,2002,8.9, Africa
Angola,2003,8.8, Africa
Angola,2004,9.04, Africa
Angola,2005,9.05, Africa
Angola,2006,9.33, Africa
Angola,2007,9.5, Africa
Angola,2008,9.5, Africa
Angola,2009,9.5, Africa
Angola,2010,9.05, Africa
Angola,2011,9.05, Africa
Angola,2012,9.05, Africa
Angola,2013,9.01, Africa
Angola,2014,8.42, Africa
Angola,2015,9.52, Africa
Angola,2016,9.52, Africa
Angola,2017,8.38, Africa
Angola,2018,8.38, Africa
Chad,1980,0, Africa
Chad,1981,0, Africa
Chad,1982,0, Africa
Chad,1983,0, Africa
Chad,1984,0, Africa
Chad,1985,0, Africa
Chad,1986,0, Africa
Chad,1987,0, Africa
Chad,1988,0, Africa
Chad,1989,0, Africa
Chad,1990,0, Africa
Chad,1991,0, Africa
Chad,1992,0, Africa
Chad,1993,0, Africa
Chad,1994,0, Africa
Chad,1995,0, Africa
Chad,1996,0, Africa
Chad,1997,0, Africa
Chad,1998,0, Africa
Chad,1999,0, Africa
Chad,2000,0.9, Africa
Chad,2001,0.9, Africa
Chad,2002,0.9, Africa
Chad,2003,0.9, Africa
Chad,2004,0.9, Africa
Chad,2005,1.5, Africa
Chad,2006,1.5, Africa
Chad,2007,1.5, Africa
