country,year,primary_energy_consumption,region
Algeria,1965,2.12, Africa
Algeria,1966,2.56, Africa
Algeria,1967,2.42, Africa
Algeria,1968,2.59, Africa
Algeria,1969,2.87, Africa
Algeria,1970,3.15, Africa
Algeria,1971,3.41, Africa
Algeria,1972,3.83, Africa
Algeria,1973,4.56, Africa
Algeria,1974,5.05, Africa
Algeria,1975,6.04, Africa
Algeria,1976,7.05, Africa
Algeria,1977,7.75, Africa
Algeria,1978,9.74, Africa
Algeria,1979,12.76, Africa
Algeria,1980,15.22, Africa
Algeria,1981,18.49, Africa
Algeria,1982,21.32, Africa
Algeria,1983,23.29, Africa
Algeria,1984,22.36, Africa
Algeria,1985,22.54, Africa
Algeria,1986,23.85, Africa
Algeria,1987,24.51, Africa
Algeria,1988,26.26, Africa
Algeria,1989,25.54, Africa
Algeria,1990,27.08, Africa
Algeria,1991,26.83, Africa
Algeria,1992,27.53, Africa
Algeria,1993,25.61, Africa
Algeria,1994,25.96, Africa
Algeria,1995,26.92, Africa
Algeria,1996,26.64, Africa
Algeria,1997,25.61, Africa
Algeria,1998,26.51, Africa
Algeria,1999,26.77, Africa
Algeria,2000,25.79, Africa
Algeria,2001,26.72, Africa
Algeria,2002,27.68, Africa
Algeria,2003,28.96, Africa
Algeria,2004,30.07, Africa
Algeria,2005,31.48, Africa
Algeria,2006,32.6, Africa
Algeria,2007,34.36, Africa
Algeria,2008,36.41, Africa
Algeria,2009,38.59, Africa
Algeria,2010,37.61, Africa
Algeria,2011,39.93, Africa
Algeria,2012,43.65, Africa
Algeria,2013,46.17, Africa
Algeria,2014,50.35, Africa
Algeria,2015,53.1, Africa
Algeria,2016,53.04, Africa
Algeria,2017,53.13, Africa
Algeria,2018,56.71, Africa
Eastern Africa,1965,9.6, Africa
Eastern Africa,1966,10.19, Africa
Eastern Africa,1967,10.67, Africa
Eastern Africa,1968,11.14, Africa
Eastern Africa,1969,11.5, Africa
Eastern Africa,1970,12.6, Africa
Eastern Africa,1971,13.44, Africa
Eastern Africa,1972,14.31, Africa
Eastern Africa,1973,14.86, Africa
Eastern Africa,1974,15.43, Africa
Eastern Africa,1975,15.19, Africa
Eastern Africa,1976,15.7, Africa
Eastern Africa,1977,15.96, Africa
Eastern Africa,1978,15.45, Africa
Eastern Africa,1979,15.79, Africa
Eastern Africa,1980,16.02, Africa
Eastern Africa,1981,15.78, Africa
Eastern Africa,1982,15.67, Africa
Eastern Africa,1983,15.33, Africa
Eastern Africa,1984,15.4, Africa
Eastern Africa,1985,16.02, Africa
Eastern Africa,1986,16.87, Africa
Eastern Africa,1987,16.96, Africa
Eastern Africa,1988,18.35, Africa
Eastern Africa,1989,18.6, Africa
Eastern Africa,1990,20.92, Africa
Eastern Africa,1991,19.91, Africa
Eastern Africa,1992,19.56, Africa
Eastern Africa,1993,20.85, Africa
Eastern Africa,1994,20.98, Africa
Eastern Africa,1995,21.37, Africa
Eastern Africa,1996,21.48, Africa
Eastern Africa,1997,22.33, Africa
Eastern Africa,1998,23.71, Africa
Eastern Africa,1999,24.2, Africa
Eastern Africa,2000,24.5, Africa
Eastern Africa,2001,26.39, Africa
Eastern Africa,2002,27.08, Africa
Eastern Africa,2003,26.79, Africa
Eastern Africa,2004,29.03, Africa
Eastern Africa,2005,30.08, Africa
Eastern Africa,2006,31.2, Africa
Eastern Africa,2007,32.68, Africa
Eastern Africa,2008,32.48, Africa
Eastern Africa,2009,34.28, Africa
Eastern Africa,2010,37.27, Africa
Eastern Africa,2011,39.28, Africa
Eastern Africa,2012,39.99, Africa
Eastern Africa,2013,43.51, Africa
Eastern Africa,2014,48.1, Africa
Eastern Africa,2015,50.29, Africa
Eastern Africa,2016,49.54, Africa
Eastern Africa,2017,52.03, Africa
Eastern Africa,2018,54.1, Africa
Egypt,1965,7.83, Africa
Egypt,1966,8.24, Africa
Egypt,1967,7.05, Africa
Egypt,1968,7.58, Africa
Egypt,1969,6.2, Africa
Egypt,1970,7.73, Africa
Egypt,1971,7.94, Africa
Egypt,1972,8.82, Africa
Egypt,1973,8.33, Africa
Egypt,1974,9.47, Africa
Egypt,1975,10.5, Africa
Egypt,1976,12.54, Africa
Egypt,1977,13.59, Africa
Egypt,1978,14.37, Africa
Egypt,1979,15.73, Africa
Egypt,1980,17.96, Africa
Egypt,1981,20.44, Africa
Egypt,1982,22.84, Africa
Egypt,1983,24.8, Africa
Egypt,1984,27, Africa
Egypt,1985,28.02, Africa
Egypt,1986,28.7, Africa
Egypt,1987,30.07, Africa
Egypt,1988,30.98, Africa
Egypt,1989,32.73, Africa
Egypt,1990,33.81, Africa
Egypt,1991,34.25, Africa
Egypt,1992,34.21, Africa
Egypt,1993,34.57, Africa
Egypt,1994,35.23, Africa
Egypt,1995,37.33, Africa
Egypt,1996,39.34, Africa
Egypt,1997,40.99, Africa
Egypt,1998,42.68, Africa
Egypt,1999,45.69, Africa
Egypt,2000,48.44, Africa
Egypt,2001,51.05, Africa
Egypt,2002,51.86, Africa
Egypt,2003,55.03, Africa
Egypt,2004,57.63, Africa
Egypt,2005,60.5, Africa
Egypt,2006,63.52, Africa
Egypt,2007,67.27, Africa
Egypt,2008,71.7, Africa
Egypt,2009,74.56, Africa
Egypt,2010,78.44, Africa
Egypt,2011,79.67, Africa
Egypt,2012,83.75, Africa
Egypt,2013,83.16, Africa
Egypt,2014,82.97, Africa
Egypt,2015,85.29, Africa
Egypt,2016,89.94, Africa
Egypt,2017,92.62, Africa
Egypt,2018,94.53, Africa
Middle Africa,1965,2.91, Africa
Middle Africa,1966,3, Africa
Middle Africa,1967,3.14, Africa
Middle Africa,1968,3.33, Africa
Middle Africa,1969,3.5, Africa
Middle Africa,1970,3.65, Africa
Middle Africa,1971,4.22, Africa
Middle Africa,1972,4.38, Africa
Middle Africa,1973,4.89, Africa
Middle Africa,1974,5.07, Africa
Middle Africa,1975,4.75, Africa
Middle Africa,1976,4.7, Africa
Middle Africa,1977,4.96, Africa
Middle Africa,1978,5.52, Africa
Middle Africa,1979,5.6, Africa
Middle Africa,1980,5.83, Africa
Middle Africa,1981,6.2, Africa
Middle Africa,1982,5.99, Africa
Middle Africa,1983,6.63, Africa
Middle Africa,1984,6.28, Africa
Middle Africa,1985,7.04, Africa
Middle Africa,1986,7, Africa
Middle Africa,1987,7.16, Africa
Middle Africa,1988,7.53, Africa
Middle Africa,1989,7.9, Africa
Middle Africa,1990,7.31, Africa
Middle Africa,1991,6.87, Africa
Middle Africa,1992,7.03, Africa
Middle Africa,1993,7.04, Africa
Middle Africa,1994,6.84, Africa
Middle Africa,1995,7.02, Africa
Middle Africa,1996,7.07, Africa
Middle Africa,1997,7.05, Africa
Middle Africa,1998,6.79, Africa
Middle Africa,1999,7.09, Africa
Middle Africa,2000,7.74, Africa
Middle Africa,2001,8.73, Africa
Middle Africa,2002,9.25, Africa
Middle Africa,2003,10.07, Africa
Middle Africa,2004,11.3, Africa
Middle Africa,2005,11.34, Africa
Middle Africa,2006,12.5, Africa
Middle Africa,2007,12.83, Africa
Middle Africa,2008,14.53, Africa
Middle Africa,2009,15.45, Africa
Middle Africa,2010,16.64, Africa
Middle Africa,2011,18.09, Africa
Middle Africa,2012,18.45, Africa
Middle Africa,2013,19.69, Africa
Middle Africa,2014,20.71, Africa
Middle Africa,2015,20.16, Africa
Middle Africa,2016,21.05, Africa
Middle Africa,2017,21.86, Africa
Middle Africa,2018,22.89, Africa
Morocco,1965,1.54, Africa
Morocco,1966,1.95, Africa
Morocco,1967,2.07, Africa
Morocco,1968,2.26, Africa
Morocco,1969,2.48, Africa
Morocco,1970,2.57, Africa
Morocco,1971,2.74, Africa
Morocco,1972,2.96, Africa
Morocco,1973,3.3, Africa
Morocco,1974,3.53, Africa
Morocco,1975,3.61, Africa
Morocco,1976,3.91, Africa
Morocco,1977,4.39, Africa
Morocco,1978,4.68, Africa
Morocco,1979,5.11, Africa
Morocco,1980,5.18, Africa
Morocco,1981,5.05, Africa
Morocco,1982,5.16, Africa
Morocco,1983,5.34, Africa
Morocco,1984,5.48, Africa
Morocco,1985,5.6, Africa
Morocco,1986,5.79, Africa
Morocco,1987,5.96, Africa
Morocco,1988,6.29, Africa
Morocco,1989,6.92, Africa
Morocco,1990,7.08, Africa
Morocco,1991,7.17, Africa
Morocco,1992,8.04, Africa
Morocco,1993,8.14, Africa
Morocco,1994,8.96, Africa
Morocco,1995,8.79, Africa
Morocco,1996,9.16, Africa
Morocco,1997,9.52, Africa
