'Province','1987','1998','2008'
Alger,1687579,2561992,2988145
Setif,997482,1315940,1489979
Oran,916678,1155464,1454078
TiziOuzou,931501,1101059,1127607
Batna,757059,968820,1119791
Djelfa,490240,860981,1092184
Blida,704462,787069,1002937
Chlef,679717,884978,1002088
MSila,605578,815045,990591
Tlemcen,707453,846942,949135
Constantine,662330,855032,938475
Bjaya,697669,848560,912577
Skikda,619094,787118,898680
Tiaret,574786,728513,846823
Media,650623,721861,819932
Boumerds,646870,645497,802083
Mascara,562806,677099,784073
Mila,511047,680815,766886
Aindefla,536205,659182,766013
Mostaganem,504124,629445,737118
Relizane,545061,639253,726180
Biskra,429217,588648,721356
Bouira,525460,626586,695583
Tbessa,409317,550021,648703
ElOued,379512,529842,647548
Jijel,471319,574336,636948
BordjBouArreridj,429009,559928,628475
OumElBouaghi,402683,533711,621612
Annaba,453951,555485,609499
SidiBelAbbas,444047,529704,604744
Tipaza,515140,555382,591010
Ouargla,286696,438831,558558
Guelma,353329,432721,482430
Laghouat,215183,327634,455602
SoukAhras,298236,373033,438127
ElTarf,276836,354213,408414
Adrar,216931,311952,399714
Khenchela,243733,348122,386683
AinTmouchent,271454,326611,371239
Ghardaia,215955,296926,363598
Saia,235240,280752,330641
Tissemsilt,227542,261298,294476
Bachar,183896,230482,270061
ElBayadh,155494,226528,228624
Naama,112858,165578,192891
Tamanrasset,94219,151814,176637
Illizi,19698,33960,52333
Tindouf,16339,32004,49149
