country,year,oil_refining_capacity,region
Algeria,1965,54.22, Africa
Algeria,1966,54.22, Africa
Algeria,1967,54.22, Africa
Algeria,1968,54.22, Africa
Algeria,1969,54.22, Africa
Algeria,1970,57.74, Africa
Algeria,1971,57.74, Africa
Algeria,1972,116.28, Africa
Algeria,1973,116.28, Africa
Algeria,1974,116.28, Africa
Algeria,1975,116.28, Africa
Algeria,1976,116.28, Africa
Algeria,1977,116.28, Africa
Algeria,1978,110, Africa
Algeria,1979,134, Africa
Algeria,1980,440, Africa
Algeria,1981,440, Africa
Algeria,1982,440, Africa
Algeria,1983,440, Africa
Algeria,1984,440, Africa
Algeria,1985,440, Africa
Algeria,1986,434, Africa
Algeria,1987,434, Africa
Algeria,1988,434, Africa
Algeria,1989,434, Africa
Algeria,1990,434, Africa
Algeria,1991,434, Africa
Algeria,1992,434, Africa
Algeria,1993,434, Africa
Algeria,1994,434, Africa
Algeria,1995,434, Africa
Algeria,1996,434, Africa
Algeria,1997,434, Africa
Algeria,1998,434, Africa
Algeria,1999,434, Africa
Algeria,2000,434, Africa
Algeria,2001,434, Africa
Algeria,2002,434, Africa
Algeria,2003,434, Africa
Algeria,2004,442.97, Africa
Algeria,2005,442.97, Africa
Algeria,2006,442.97, Africa
Algeria,2007,442.97, Africa
Algeria,2008,444.5, Africa
Algeria,2009,554.27, Africa
Algeria,2010,554.27, Africa
Algeria,2011,652.35, Africa
Algeria,2012,652.35, Africa
Algeria,2013,646.55, Africa
Algeria,2014,650.86, Africa
Algeria,2015,650.86, Africa
Algeria,2016,650.86, Africa
Algeria,2017,657, Africa
Algeria,2018,657, Africa
Egypt,1965,180.74, Africa
Egypt,1966,180.74, Africa
Egypt,1967,136.16, Africa
Egypt,1968,130.53, Africa
Egypt,1969,80.33, Africa
Egypt,1970,175.4, Africa
Egypt,1971,175.4, Africa
Egypt,1972,175.4, Africa
Egypt,1973,175.4, Africa
Egypt,1974,175.4, Africa
Egypt,1975,200.82, Africa
Egypt,1976,222.91, Africa
Egypt,1977,293.2, Africa
Egypt,1978,314, Africa
Egypt,1979,314, Africa
Egypt,1980,324, Africa
Egypt,1981,361, Africa
Egypt,1982,386, Africa
Egypt,1983,386, Africa
Egypt,1984,433, Africa
Egypt,1985,433, Africa
Egypt,1986,443, Africa
Egypt,1987,523, Africa
Egypt,1988,576, Africa
Egypt,1989,583, Africa
Egypt,1990,583, Africa
Egypt,1991,583, Africa
Egypt,1992,592, Africa
Egypt,1993,633, Africa
Egypt,1994,633, Africa
Egypt,1995,633, Africa
Egypt,1996,645, Africa
Egypt,1997,645, Africa
Egypt,1998,645, Africa
Egypt,1999,645, Africa
Egypt,2000,654, Africa
Egypt,2001,770, Africa
Egypt,2002,810, Africa
Egypt,2003,810, Africa
Egypt,2004,810, Africa
Egypt,2005,810, Africa
Egypt,2006,810, Africa
Egypt,2007,810, Africa
Egypt,2008,810, Africa
Egypt,2009,810, Africa
Egypt,2010,810, Africa
Egypt,2011,810, Africa
Egypt,2012,810, Africa
Egypt,2013,810, Africa
Egypt,2014,810, Africa
Egypt,2015,810, Africa
Egypt,2016,810, Africa
Egypt,2017,810, Africa
Egypt,2018,795, Africa
Morocco,1965,34.14, Africa
Morocco,1966,34.14, Africa
Morocco,1967,34.14, Africa
Morocco,1968,34.14, Africa
Morocco,1969,34.14, Africa
Morocco,1970,34.14, Africa
Morocco,1971,34.14, Africa
Morocco,1972,40.16, Africa
Morocco,1973,48.2, Africa
Morocco,1974,78.32, Africa
Morocco,1975,78.32, Africa
Morocco,1976,78.32, Africa
Morocco,1977,78.32, Africa
Morocco,1978,74, Africa
Morocco,1979,154, Africa
Morocco,1980,154, Africa
Morocco,1981,154, Africa
Morocco,1982,154, Africa
Morocco,1983,154, Africa
Morocco,1984,154, Africa
Morocco,1985,154, Africa
Morocco,1986,154, Africa
Morocco,1987,154, Africa
Morocco,1988,154, Africa
Morocco,1989,154, Africa
Morocco,1990,154, Africa
Morocco,1991,154, Africa
Morocco,1992,154, Africa
Morocco,1993,154, Africa
Morocco,1994,154, Africa
Morocco,1995,154, Africa
Morocco,1996,154, Africa
Morocco,1997,154, Africa
Morocco,1998,154, Africa
Morocco,1999,154, Africa
Morocco,2000,154, Africa
Morocco,2001,154, Africa
Morocco,2002,154, Africa
Morocco,2003,154, Africa
Morocco,2004,154, Africa
Morocco,2005,154, Africa
Morocco,2006,154, Africa
Morocco,2007,155.64, Africa
Morocco,2008,130.53, Africa
Morocco,2009,130.53, Africa
Morocco,2010,130.53, Africa
Morocco,2011,130.53, Africa
Morocco,2012,200.82, Africa
Morocco,2013,200.82, Africa
Morocco,2014,200.82, Africa
Morocco,2015,200.82, Africa
Morocco,2016,200.82, Africa
Morocco,2017,200.82, Africa
Morocco,2018,200.82, Africa
Nigeria,1965,32.13, Africa
Nigeria,1966,32.13, Africa
Nigeria,1967,33.34, Africa
Nigeria,1968,42.17, Africa
Nigeria,1969,42.17, Africa
Nigeria,1970,55.23, Africa
Nigeria,1971,60.25, Africa
Nigeria,1972,60.25, Africa
Nigeria,1973,60.25, Africa
Nigeria,1974,60.25, Africa
Nigeria,1975,60.25, Africa
Nigeria,1976,60.25, Africa
Nigeria,1977,60.25, Africa
Nigeria,1978,160, Africa
Nigeria,1979,160, Africa
Nigeria,1980,210, Africa
Nigeria,1981,210, Africa
Nigeria,1982,260, Africa
Nigeria,1983,260, Africa
Nigeria,1984,260, Africa
Nigeria,1985,261, Africa
Nigeria,1986,270, Africa
Nigeria,1987,270, Africa
Nigeria,1988,275, Africa
