country,year,oil_refinery_throughput,region
Algeria,1980,226.31, Africa
Algeria,1981,307.26, Africa
Algeria,1982,411.68, Africa
Algeria,1983,377.55, Africa
Algeria,1984,410.56, Africa
Algeria,1985,407.67, Africa
Algeria,1986,434.46, Africa
Algeria,1987,411.52, Africa
Algeria,1988,436.3, Africa
Algeria,1989,416.81, Africa
Algeria,1990,421.08, Africa
Algeria,1991,421.81, Africa
Algeria,1992,423.18, Africa
Algeria,1993,419.58, Africa
Algeria,1994,396.1, Africa
Algeria,1995,407.95, Africa
Algeria,1996,386.67, Africa
Algeria,1997,413.19, Africa
Algeria,1998,385.28, Africa
Algeria,1999,439.16, Africa
Algeria,2000,427.54, Africa
Algeria,2001,446.39, Africa
Algeria,2002,434.3, Africa
Algeria,2003,439.76, Africa
Algeria,2004,365.53, Africa
Algeria,2005,355.94, Africa
Algeria,2006,381.78, Africa
Algeria,2007,391.36, Africa
Algeria,2008,429.41, Africa
Algeria,2009,475.16, Africa
Algeria,2010,548.14, Africa
Algeria,2011,520.49, Africa
Algeria,2012,478.49, Africa
Algeria,2013,492.13, Africa
Algeria,2014,614.8, Africa
Algeria,2015,590.54, Africa
Algeria,2016,584.18, Africa
Algeria,2017,572.68, Africa
Algeria,2018,598.41, Africa
Egypt,1980,277.06, Africa
Egypt,1981,302.66, Africa
Egypt,1982,337.58, Africa
Egypt,1983,364.21, Africa
Egypt,1984,391.35, Africa
Egypt,1985,406.02, Africa
Egypt,1986,424.5, Africa
Egypt,1987,450.42, Africa
Egypt,1988,450.07, Africa
Egypt,1989,463.04, Africa
Egypt,1990,488.74, Africa
Egypt,1991,498.52, Africa
Egypt,1992,485.82, Africa
Egypt,1993,514.12, Africa
Egypt,1994,532.34, Africa
Egypt,1995,548.3, Africa
Egypt,1996,567.03, Africa
Egypt,1997,575.33, Africa
Egypt,1998,588.41, Africa
Egypt,1999,574.75, Africa
Egypt,2000,497.42, Africa
Egypt,2001,578.61, Africa
Egypt,2002,576.62, Africa
Egypt,2003,597.51, Africa
Egypt,2004,625.41, Africa
Egypt,2005,633.05, Africa
Egypt,2006,630.62, Africa
Egypt,2007,653.25, Africa
Egypt,2008,616.98, Africa
Egypt,2009,597.87, Africa
Egypt,2010,579.71, Africa
Egypt,2011,523.32, Africa
Egypt,2012,533.91, Africa
Egypt,2013,514.06, Africa
Egypt,2014,530.45, Africa
Egypt,2015,530.17, Africa
Egypt,2016,508.69, Africa
Egypt,2017,508.08, Africa
Egypt,2018,519.24, Africa
Morocco,1980,84.42, Africa
Morocco,1981,83.68, Africa
Morocco,1982,86.67, Africa
Morocco,1983,90.73, Africa
Morocco,1984,94.69, Africa
Morocco,1985,95.73, Africa
Morocco,1986,90.37, Africa
Morocco,1987,91.31, Africa
Morocco,1988,102.22, Africa
Morocco,1989,111.34, Africa
Morocco,1990,114.87, Africa
Morocco,1991,108.97, Africa
Morocco,1992,124.77, Africa
Morocco,1993,125.69, Africa
Morocco,1994,132.08, Africa
Morocco,1995,124.73, Africa
Morocco,1996,112.91, Africa
Morocco,1997,118.91, Africa
Morocco,1998,122.74, Africa
Morocco,1999,145.76, Africa
Morocco,2000,137.51, Africa
Morocco,2001,140.82, Africa
Morocco,2002,127.32, Africa
Morocco,2003,88.76, Africa
Morocco,2004,124.39, Africa
Morocco,2005,141.06, Africa
Morocco,2006,125.92, Africa
Morocco,2007,128.24, Africa
Morocco,2008,114.24, Africa
Morocco,2009,93.24, Africa
Morocco,2010,109.99, Africa
Morocco,2011,102.8, Africa
Morocco,2012,110.75, Africa
Morocco,2013,111.32, Africa
Morocco,2014,104.43, Africa
Morocco,2015,52.6, Africa
Morocco,2016,0, Africa
Morocco,2017,0, Africa
Morocco,2018,0, Africa
Nigeria,1980,126.95, Africa
Nigeria,1981,154.93, Africa
Nigeria,1982,165.96, Africa
Nigeria,1983,155.78, Africa
Nigeria,1984,163.48, Africa
Nigeria,1985,141.24, Africa
Nigeria,1986,142.46, Africa
Nigeria,1987,143.43, Africa
Nigeria,1988,162.2, Africa
Nigeria,1989,219.8, Africa
Nigeria,1990,260.77, Africa
Nigeria,1991,245.3, Africa
Nigeria,1992,228.55, Africa
Nigeria,1993,228.19, Africa
Nigeria,1994,116.64, Africa
Nigeria,1995,169.45, Africa
Nigeria,1996,202.82, Africa
Nigeria,1997,212.93, Africa
Nigeria,1998,148.07, Africa
Nigeria,1999,181.04, Africa
Nigeria,2000,95.63, Africa
Nigeria,2001,220.78, Africa
Nigeria,2002,215.86, Africa
Nigeria,2003,122.44, Africa
Nigeria,2004,103.9, Africa
Nigeria,2005,193.53, Africa
Nigeria,2006,119.03, Africa
Nigeria,2007,52.22, Africa
Nigeria,2008,107.28, Africa
Nigeria,2009,48.62, Africa
Nigeria,2010,95.54, Africa
Nigeria,2011,107.97, Africa
Nigeria,2012,91.88, Africa
Nigeria,2013,96.53, Africa
Nigeria,2014,64, Africa
Nigeria,2015,21.89, Africa
Nigeria,2016,61.5, Africa
Nigeria,2017,80.76, Africa
Nigeria,2018,43.52, Africa
Other Africa,1980,433.74, Africa
Other Africa,1981,411.9, Africa
Other Africa,1982,405.81, Africa
Other Africa,1983,402.23, Africa
Other Africa,1984,414.92, Africa
Other Africa,1985,509.93, Africa
Other Africa,1986,521.56, Africa
Other Africa,1987,583.3, Africa
Other Africa,1988,593.95, Africa
Other Africa,1989,575.48, Africa
Other Africa,1990,542.76, Africa
Other Africa,1991,547.87, Africa
Other Africa,1992,558.22, Africa
Other Africa,1993,530.6, Africa
Other Africa,1994,562.81, Africa
Other Africa,1995,575.69, Africa
Other Africa,1996,638.68, Africa
Other Africa,1997,640.36, Africa
Other Africa,1998,612.01, Africa
Other Africa,1999,646.47, Africa
Other Africa,2000,656.08, Africa
Other Africa,2001,665.83, Africa
Other Africa,2002,657.73, Africa
Other Africa,2003,665.05, Africa
Other Africa,2004,730.28, Africa
Other Africa,2005,711, Africa
Other Africa,2006,698.35, Africa
Other Africa,2007,729.48, Africa
Other Africa,2008,718.05, Africa
Other Africa,2009,696.13, Africa
Other Africa,2010,701.48, Africa
Other Africa,2011,512.46, Africa
Other Africa,2012,586.35, Africa
Other Africa,2013,593.56, Africa
Other Africa,2014,443.96, Africa
Other Africa,2015,455.23, Africa
Other Africa,2016,460.36, Africa
Other Africa,2017,434.75, Africa
Other Africa,2018,422.97, Africa
South Africa,1980,252.18, Africa
South Africa,1981,255.79, Africa
South Africa,1982,260.71, Africa
South Africa,1983,237.07, Africa
South Africa,1984,245.43, Africa
South Africa,1985,231.77, Africa
South Africa,1986,221.06, Africa
South Africa,1987,233.33, Africa
South Africa,1988,257.07, Africa
South Africa,1989,255.73, Africa
South Africa,1990,275.87, Africa
South Africa,1991,278.82, Africa
South Africa,1992,258.51, Africa
South Africa,1993,268.98, Africa
South Africa,1994,285.41, Africa
South Africa,1995,336.2, Africa
South Africa,1996,320.66, Africa
South Africa,1997,438.57, Africa
South Africa,1998,335.45, Africa
South Africa,1999,355.09, Africa
South Africa,2000,366.72, Africa
South Africa,2001,450.72, Africa
South Africa,2002,451.44, Africa
South Africa,2003,441.18, Africa
South Africa,2004,410.9, Africa
South Africa,2005,453.39, Africa
South Africa,2006,384.62, Africa
South Africa,2007,388.07, Africa
South Africa,2008,407.78, Africa
South Africa,2009,388.13, Africa
South Africa,2010,389.3, Africa
South Africa,2011,382.61, Africa
South Africa,2012,403.12, Africa
South Africa,2013,412.67, Africa
South Africa,2014,430.71, Africa
South Africa,2015,442.57, Africa
South Africa,2016,464.4, Africa
South Africa,2017,447.23, Africa
South Africa,2018,455.05, Africa
Australia,1980,569.16, Asia Pacific
Australia,1981,533.93, Asia Pacific
Australia,1982,545.59, Asia Pacific
Australia,1983,505.49, Asia Pacific
Australia,1984,506.59, Asia Pacific
Australia,1985,495.31, Asia Pacific
Australia,1986,481.99, Asia Pacific
Australia,1987,481.69, Asia Pacific
Australia,1988,512.68, Asia Pacific
Australia,1989,532.48, Asia Pacific
Australia,1990,532.98, Asia Pacific
Australia,1991,536.5, Asia Pacific
Australia,1992,559.32, Asia Pacific
Australia,1993,584.27, Asia Pacific
Australia,1994,599.45, Asia Pacific
Australia,1995,602.79, Asia Pacific
Australia,1996,634.27, Asia Pacific
Australia,1997,661.63, Asia Pacific
Australia,1998,687.29, Asia Pacific
Australia,1999,682.45, Asia Pacific
Australia,2000,673.88, Asia Pacific
Australia,2001,635.44, Asia Pacific
Australia,2002,669.7, Asia Pacific
Australia,2003,668.11, Asia Pacific
Australia,2004,615.22, Asia Pacific
Australia,2005,605.37, Asia Pacific
Australia,2006,597.14, Asia Pacific
Australia,2007,614.49, Asia Pacific
Australia,2008,570.08, Asia Pacific
Australia,2009,576.64, Asia Pacific
Australia,2010,605.98, Asia Pacific
Australia,2011,626.67, Asia Pacific
Australia,2012,599.51, Asia Pacific
Australia,2013,587.61, Asia Pacific
Australia,2014,538.29, Asia Pacific
Australia,2015,427.06, Asia Pacific
Australia,2016,433.37, Asia Pacific
Australia,2017,419.19, Asia Pacific
Australia,2018,477.12, Asia Pacific
Bangladesh,1980,24.67, Asia Pacific
Bangladesh,1981,26.37, Asia Pacific
Bangladesh,1982,25.67, Asia Pacific
Bangladesh,1983,20.34, Asia Pacific
Bangladesh,1984,22.85, Asia Pacific
Bangladesh,1985,22.11, Asia Pacific
Bangladesh,1986,22.19, Asia Pacific
Bangladesh,1987,22.73, Asia Pacific
Bangladesh,1988,23.03, Asia Pacific
Bangladesh,1989,24.36, Asia Pacific
Bangladesh,1990,21.95, Asia Pacific
Bangladesh,1991,23.68, Asia Pacific
Bangladesh,1992,22.35, Asia Pacific
Bangladesh,1993,28.82, Asia Pacific
Bangladesh,1994,26.09, Asia Pacific
Bangladesh,1995,29.82, Asia Pacific
Bangladesh,1996,25.78, Asia Pacific
Bangladesh,1997,29.64, Asia Pacific
Bangladesh,1998,27.17, Asia Pacific
Bangladesh,1999,22.23, Asia Pacific
Bangladesh,2000,29.4, Asia Pacific
Bangladesh,2001,29.02, Asia Pacific
Bangladesh,2002,26.85, Asia Pacific
Bangladesh,2003,31.27, Asia Pacific
Bangladesh,2004,25.98, Asia Pacific
Bangladesh,2005,22.57, Asia Pacific
Bangladesh,2006,26.13, Asia Pacific
Bangladesh,2007,25.1, Asia Pacific
Bangladesh,2008,24.51, Asia Pacific
Bangladesh,2009,17.77, Asia Pacific
Bangladesh,2010,25.53, Asia Pacific
Bangladesh,2011,26.96, Asia Pacific
Bangladesh,2012,23.9, Asia Pacific
Bangladesh,2013,27.33, Asia Pacific
Bangladesh,2014,24.2, Asia Pacific
Bangladesh,2015,25.15, Asia Pacific
Bangladesh,2016,22.61, Asia Pacific
Bangladesh,2017,27.95, Asia Pacific
Bangladesh,2018,28.34, Asia Pacific
China,1980,1510, Asia Pacific
China,1981,1435, Asia Pacific
China,1982,1447, Asia Pacific
China,1983,1602, Asia Pacific
China,1984,1638, Asia Pacific
China,1985,1697, Asia Pacific
China,1986,1839, Asia Pacific
China,1987,1952, Asia Pacific
China,1988,2035, Asia Pacific
China,1989,2114, Asia Pacific
China,1990,2153, Asia Pacific
China,1991,2282, Asia Pacific
China,1992,2426, Asia Pacific
China,1993,2570, Asia Pacific
China,1994,2548, Asia Pacific
China,1995,2711, Asia Pacific
China,1996,2850, Asia Pacific
China,1997,3084, Asia Pacific
China,1998,3060, Asia Pacific
China,1999,3686, Asia Pacific
China,2000,4066.61, Asia Pacific
China,2001,4098.13, Asia Pacific
China,2002,4333.78, Asia Pacific
China,2003,4788.4, Asia Pacific
China,2004,5555.03, Asia Pacific
China,2005,5831.97, Asia Pacific
China,2006,6234.72, Asia Pacific
China,2007,6593.51, Asia Pacific
China,2008,6828.38, Asia Pacific
China,2009,7452.38, Asia Pacific
