ISO,Country,Region,2011 Total,2011 Short,2011 Long,2012 Total,2012 Short,2012 Long,2013 Total,2013 Short,2013 Long,2014 Total,2014 Short,2014 Long,2015 Total,2015 Short,2015 Long,2016 Total,2016 Short,2016 Long
AFG,Afghanistan,Asia,291,279,12,335,18,317,385,44,341,457,52,405,496,58,438,742,92,650
ALB,Albania,Europe,54,54,0,66,2,64,89,2,87,99,10,89,113,14,99,124,15,109
DZA,Algeria,Africa,464,450,14,512,30,482,667,143,524,734,150,584,650,97,553,992,286,706
ASM,American Samoa,Americas,,,,,,,,,,,,,,,,4,0,4
AND,Andorra,Europe,1,1,0,2,1,1,30,29,1,7,6,1,,,,1,1,0
AGO,Angola,Africa,263,249,14,334,13,321,411,66,345,534,53,481,683,49,634,714,38,676
ATG,Antigua and Barbuda,Americas,67,66,1,85,2,83,94,4,90,117,7,110,136,7,129,159,17,142
ARG,Argentina,Americas,182,141,41,274,112,162,304,108,196,345,112,233,406,109,297,426,113,313
ARM,Armenia,Asia,91,86,5,151,32,119,142,15,127,207,42,165,288,114,174,319,127,192
ABW,Aruba,Americas,,,,,,,,,,,,,,,,8,8,0
AUS,Australia,Oceania,3330,1182,2148,3246,1964,1282,3446,1988,1458,4721,3183,1538,4411,2872,1539,4796,3287,1509
AUT,Austria,Europe,604,293,311,483,177,306,580,275,305,524,199,325,544,229,315,581,286,295
AZE,Azerbaijan,Asia,179,162,17,243,37,206,284,50,234,302,29,273,313,53,260,319,62,299
BHR,Bahrain,Asia,132,130,2,234,3,231,440,1,439,620,13,607,671,12,659,629,13,616
BGD,Bangladesh,Asia,941,862,79,1253,44,1209,1964,131,1833,2566,88,2478,3765,332,3433,4905,449,4456
BRB,Barbados,Americas,23,22,1,20,0,20,21,1,20,30,2,28,32,0,32,87,49,38
BLR,Belarus,Europe,327,305,22,461,62,399,520,79,441,627,100,527,654,117,537,858,283,575
BEL,Belgium,Europe,814,412,402,998,581,417,1184,632,552,1208,628,580,1667,1057,610,1354,722,632
BLZ,Belize,Americas,,,,,,,,,,,,,,,,32,2,30
BEN,Benin,Africa,241,216,25,326,44,282,428,63,365,528,73,455,553,76,477,673,122,551
BOL,Bolivia,Americas,130,94,36,148,12,136,175,18,157,196,10,186,210,18,192,249,50,199
BIH,Bosnia and Hercegovina,Europe,18,15,3,18,3,15,17,3,14,27,2,25,41,1,40,93,29,64
