Temperature - (Celsius), Year, Statistics, Country, ISO3
11.6245, 1901, Jan Average, Algeria, DZA
13.5691, 1901, Feb Average, Algeria, DZA
17.6054, 1901, Mar Average, Algeria, DZA
22.9699, 1901, Apr Average, Algeria, DZA
25.2967, 1901, May Average, Algeria, DZA
31.8383, 1901, Jun Average, Algeria, DZA
32.4921, 1901, Jul Average, Algeria, DZA
31.9569, 1901, Aug Average, Algeria, DZA
28.573, 1901, Sep Average, Algeria, DZA
22.2757, 1901, Oct Average, Algeria, DZA
17.2219, 1901, Nov Average, Algeria, DZA
12.0566, 1901, Dec Average, Algeria, DZA
11.2588, 1902, Jan Average, Algeria, DZA
15.3432, 1902, Feb Average, Algeria, DZA
18.1023, 1902, Mar Average, Algeria, DZA
23.1037, 1902, Apr Average, Algeria, DZA
25.07, 1902, May Average, Algeria, DZA
29.2886, 1902, Jun Average, Algeria, DZA
32.5636, 1902, Jul Average, Algeria, DZA
32.0775, 1902, Aug Average, Algeria, DZA
28.339, 1902, Sep Average, Algeria, DZA
22.0322, 1902, Oct Average, Algeria, DZA
17.4924, 1902, Nov Average, Algeria, DZA
13.0859, 1902, Dec Average, Algeria, DZA
12.7688, 1903, Jan Average, Algeria, DZA
14.5275, 1903, Feb Average, Algeria, DZA
18.0841, 1903, Mar Average, Algeria, DZA
21.5822, 1903, Apr Average, Algeria, DZA
25.7164, 1903, May Average, Algeria, DZA
29.4119, 1903, Jun Average, Algeria, DZA
31.3335, 1903, Jul Average, Algeria, DZA
31.167, 1903, Aug Average, Algeria, DZA
28.1541, 1903, Sep Average, Algeria, DZA
23.7696, 1903, Oct Average, Algeria, DZA
17.2904, 1903, Nov Average, Algeria, DZA
12.861, 1903, Dec Average, Algeria, DZA
11.7944, 1904, Jan Average, Algeria, DZA
15.1785, 1904, Feb Average, Algeria, DZA
17.715, 1904, Mar Average, Algeria, DZA
22.0921, 1904, Apr Average, Algeria, DZA
26.3019, 1904, May Average, Algeria, DZA
30.6611, 1904, Jun Average, Algeria, DZA
32.55, 1904, Jul Average, Algeria, DZA
32.0661, 1904, Aug Average, Algeria, DZA
28.1074, 1904, Sep Average, Algeria, DZA
23.2655, 1904, Oct Average, Algeria, DZA
17.0734, 1904, Nov Average, Algeria, DZA
13.5595, 1904, Dec Average, Algeria, DZA
10.9481, 1905, Jan Average, Algeria, DZA
12.2803, 1905, Feb Average, Algeria, DZA
18.0517, 1905, Mar Average, Algeria, DZA
22.9198, 1905, Apr Average, Algeria, DZA
25.5334, 1905, May Average, Algeria, DZA
30.3414, 1905, Jun Average, Algeria, DZA
